"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-9.729766846E-3,9.589059448E-1,9.793234863E0
1.004900000E-1,-3.592529297E-2,9.738748169E-1,9.810000000E0
2.009736667E-1,-1.541793823E-2,9.583071899E-1,9.776918793E0
3.014636667E-1,-3.397933960E-2,9.833052063E-1,9.672436066E0
4.019526667E-1,-2.814147949E-2,9.848020935E-1,9.767488403E0
5.024416667E-1,1.287322998E-2,9.572593689E-1,9.779613190E0
6.029316667E-1,-1.377136230E-2,9.740245056E-1,9.804012451E0
7.034206667E-1,-3.592529297E-3,9.575587463E-1,9.723180542E0
8.039106667E-1,-3.397933960E-2,9.741741943E-1,9.765093384E0
9.043996666E-1,-2.350112915E-2,9.473799133E-1,9.730515289E0
1.004889667E0,7.634124756E-3,9.348060608E-1,9.767787781E0
1.105378667E0,-1.242416382E-2,9.627978516E-1,9.780960388E0
1.205867792E0,-2.694396973E-3,9.180409241E-1,9.766739960E0
1.306357792E0,-3.457809448E-2,9.587562561E-1,9.723629608E0
1.406846792E0,-1.930984497E-2,9.544152832E-1,9.763596497E0
1.507336792E0,-3.502716064E-2,9.506730652E-1,9.800569611E0
1.607825792E0,-2.829116821E-2,9.671388245E-1,9.780361633E0
1.708314792E0,7.484436035E-3,9.666897583E-1,9.731862488E0
1.808804792E0,-1.945953369E-3,9.611512756E-1,9.766739960E0
1.909293792E0,-2.814147949E-2,9.770182800E-1,9.743238831E0
2.009782792E0,-3.023712158E-2,9.722282410E-1,9.765991516E0
2.110272792E0,-1.466949463E-2,9.681866455E-1,9.771679688E0
2.210766000E0,-5.987548828E-3,9.819580078E-1,9.744136963E0
2.311255000E0,7.334747314E-3,9.566606140E-1,9.759554901E0
2.411745000E0,-1.751358032E-2,9.256750488E-1,9.789642334E0
2.512234000E0,-1.571731567E-2,9.560618591E-1,9.775571594E0
2.612723000E0,-3.472778320E-2,9.300160217E-1,9.777667236E0
2.713212000E0,-3.667373657E-2,9.496252441E-1,9.761800232E0
2.813702000E0,-5.613327026E-2,9.587562561E-1,9.768536224E0
2.914191000E0,-1.751358032E-2,9.994715881E-1,9.736652527E0
3.014680000E0,-4.640350342E-3,9.539662170E-1,9.765392761E0
3.115169000E0,-7.185058594E-3,9.400451660E-1,9.752968597E0
3.215655417E0,-4.266128540E-2,9.722282410E-1,9.776469727E0
3.316144417E0,-7.244934082E-2,9.571096802E-1,9.775870972E0
3.416633417E0,-4.999603271E-2,9.731263733E-1,9.736802216E0
3.517122417E0,-4.685256958E-2,9.657916260E-1,9.759704590E0
3.617611417E0,-3.487747192E-2,9.746232605E-1,9.739346924E0
3.718101417E0,-4.041595459E-3,9.560618591E-1,9.764794006E0
3.818590417E0,-4.161346436E-2,9.689350891E-1,9.737700348E0
3.919079417E0,-7.155120850E-2,9.671388245E-1,9.805209961E0
4.019568417E0,-7.035369873E-2,9.626481628E-1,9.744436340E0
4.120057417E0,-5.822891235E-2,9.680369568E-1,9.807604980E0
4.220545625E0,-3.817062378E-2,9.294172668E-1,9.783505096E0
4.321035625E0,-1.541793823E-2,9.629475403E-1,9.732461243E0
4.421524625E0,-9.580078125E-3,9.463320923E-1,9.774374084E0
4.522013625E0,-7.484436035E-3,9.470805359E-1,9.779463501E0
4.622502625E0,-4.834945679E-2,9.743238831E-1,9.769733734E0
4.722991625E0,-6.900650024E-2,9.422904968E-1,9.748028870E0
4.823480625E0,-8.008346558E-2,9.584568787E-1,9.802964630E0
4.923969625E0,-4.490661621E-2,9.780661011E-1,9.732311554E0
5.024458625E0,-2.260299683E-2,9.782157898E-1,9.739496613E0
5.124947625E0,-2.754272461E-2,9.397457886E-1,9.752519531E0
5.225436792E0,-2.484832764E-2,9.523196411E-1,9.775870972E0
5.325926792E0,-3.742218018E-2,9.623487854E-1,9.787546692E0
5.426415792E0,-5.493576050E-2,9.084608459E-1,9.769733734E0
5.526904792E0,-3.712280273E-2,9.539662170E-1,9.735305328E0
5.627393792E0,-3.083587646E-2,9.234297180E-1,9.764943695E0
5.727882792E0,-2.290237427E-2,9.277706909E-1,9.782157898E0
5.828371792E0,-2.559677124E-2,9.309141541E-1,9.788594513E0
5.928860792E0,2.149530029E-1,1.052910461E0,9.724827118E0
6.029349792E0,5.153782654E-1,1.220861206E0,9.992470551E0
6.129838792E0,6.453080750E-1,1.770069122E0,9.686656494E0
6.230327750E0,7.096742249E-1,1.979932709E0,9.691596222E0
6.330816750E0,9.455836487E-1,2.507585449E0,9.662706299E0
6.431305750E0,9.285191345E-1,3.186423798E0,9.156159668E0
6.531794750E0,7.334747314E-1,3.776347046E0,8.864416351E0
6.632283750E0,7.186555481E-1,4.235891418E0,9.398505707E0
6.732772750E0,1.195414124E0,4.884193268E0,8.161178741E0
6.833261750E0,1.421893158E0,5.786067810E0,7.551496582E0
6.933750750E0,1.423090668E0,5.891748047E0,7.549400940E0
7.034239750E0,1.164278870E0,6.043233032E0,7.006030884E0
7.134727750E0,1.008901978E0,5.800737305E0,7.820038147E0
7.235217042E0,9.334588623E-1,5.250331879E0,7.715705109E0
