"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.541599999E-2,-2.304958725E1,-2.812384605E0,-4.939946365E1
1.859060000E-1,-2.307441902E1,-2.759270668E0,-4.915933609E1
2.863896667E-1,-2.304475975E1,-2.954685211E0,-4.934283829E1
3.868796667E-1,-2.294579124E1,-3.003576279E0,-4.942324448E1
4.873686667E-1,-2.303037643E1,-2.831381798E0,-4.931658554E1
5.878586667E-1,-2.302569962E1,-2.951951981E0,-4.928746414E1
6.883476666E-1,-2.303379250E1,-2.989316940E0,-4.924689102E1
7.888366667E-1,-2.306265450E1,-2.922313690E0,-4.937430954E1
8.893266667E-1,-2.305945206E1,-3.018160820E0,-4.943159103E1
9.898156667E-1,-2.318824768E1,-2.736123085E0,-4.954207993E1
1.090305667E0,-2.313597107E1,-2.904397011E0,-4.942902756E1
1.190794667E0,-2.309150505E1,-2.781867027E0,-4.965336990E1
1.291283792E0,-2.312273026E1,-2.878905296E0,-4.934753799E1
1.391773792E0,-2.303618240E1,-2.944819450E0,-4.959402084E1
1.492262792E0,-2.304661942E1,-2.915658951E0,-4.955504227E1
1.592752792E0,-2.296908188E1,-2.995368958E0,-4.939657974E1
1.693241792E0,-2.305117416E1,-2.912565231E0,-4.949444199E1
1.793730792E0,-2.294931793E1,-2.915203094E0,-4.936825943E1
1.894220792E0,-2.298454094E1,-2.810924530E0,-4.942448807E1
1.994709792E0,-2.296421814E1,-2.987095833E0,-4.942762375E1
2.095198792E0,-2.302458572E1,-2.997001648E0,-4.957995224E1
2.195688792E0,-2.291878891E1,-2.946421623E0,-4.949954605E1
2.296182000E0,-2.286132240E1,-3.033595085E0,-4.940250778E1
2.396671000E0,-2.277499390E1,-3.091624260E0,-4.928424454E1
2.497160000E0,-2.284176826E1,-3.025107384E0,-4.958423996E1
2.597650000E0,-2.276427460E1,-3.127927780E0,-4.939104843E1
2.698139000E0,-2.292142487E1,-3.269546509E0,-4.963703537E1
2.798628000E0,-2.290959167E1,-3.130038261E0,-4.942953873E1
2.899118000E0,-2.290036774E1,-3.058331490E0,-4.950094986E1
2.999607000E0,-2.281648636E1,-3.171382904E0,-4.935013962E1
3.100096000E0,-2.280297470E1,-3.107988358E0,-4.952786636E1
3.200581417E0,-2.290522385E1,-3.013045311E0,-4.960033035E1
3.301070417E0,-2.272918320E1,-2.921503067E0,-4.950348282E1
3.401560417E0,-2.263658905E1,-3.181374550E0,-4.946788406E1
3.502049417E0,-2.280153084E1,-2.866048813E0,-4.950516129E1
3.602538417E0,-2.277892303E1,-3.097771645E0,-4.944245529E1
3.703027417E0,-2.281930542E1,-2.967673302E0,-4.925436783E1
3.803516417E0,-2.273675156E1,-2.948689461E0,-4.951734543E1
3.904006417E0,-2.270101166E1,-2.995398521E0,-4.943411636E1
4.004495417E0,-2.277153015E1,-3.038285255E0,-4.957636642E1
4.104984417E0,-2.279811478E1,-2.803636551E0,-4.969094467E1
4.205472625E0,-2.277938080E1,-3.036007881E0,-4.971091080E1
4.305961625E0,-2.283468246E1,-2.970602036E0,-4.976650620E1
4.406450625E0,-2.286285591E1,-3.049966812E0,-4.956555557E1
4.506939625E0,-2.282331467E1,-3.085566521E0,-4.978704453E1
4.607429625E0,-2.277980232E1,-2.963088989E0,-4.974549484E1
4.707918625E0,-2.286520767E1,-2.945101738E0,-4.972227859E1
4.808407625E0,-2.293598366E1,-3.057581902E0,-4.978407669E1
4.908896625E0,-2.292285538E1,-2.917108536E0,-4.966318130E1
5.009385625E0,-2.293040276E1,-3.014240265E0,-4.958292770E1
5.109874625E0,-2.304797363E1,-2.865481377E0,-4.963142014E1
5.210363792E0,-2.293537140E1,-2.859388351E0,-4.965011978E1
5.310852792E0,-2.299531174E1,-2.969621658E0,-4.948758316E1
5.411341792E0,-2.305521774E1,-3.023160934E0,-4.957158279E1
5.511830792E0,-2.302054214E1,-3.191832542E0,-4.959437943E1
5.612319792E0,-2.312840652E1,-2.904448509E0,-4.964545822E1
5.712808792E0,-2.304870224E1,-3.071887970E0,-4.924551010E1
5.813297792E0,-2.316901398E1,-2.982857704E0,-4.934497452E1
5.913786792E0,-2.354244232E1,-3.121277809E0,-4.918564987E1
6.014275792E0,-2.524660301E1,-4.151803970E0,-4.841890335E1
6.114764792E0,-2.651329422E1,-6.500281334E0,-4.739636993E1
6.215253750E0,-2.714928436E1,-8.572628021E0,-4.618780136E1
6.315742750E0,-2.716290665E1,-1.065328407E1,-4.560423279E1
6.416231750E0,-2.634898376E1,-1.331091499E1,-4.460756683E1
6.516720750E0,-2.541351318E1,-1.617304039E1,-4.382725906E1
6.617209750E0,-2.498529053E1,-1.916044235E1,-4.240019608E1
6.717698750E0,-2.562717819E1,-2.265851974E1,-4.022691345E1
6.818187750E0,-2.603690720E1,-2.593073845E1,-3.813827896E1
6.918676750E0,-2.549862099E1,-2.768237114E1,-3.702334595E1
7.019165750E0,-2.492987442E1,-2.858301353E1,-3.685541916E1
7.119654750E0,-2.447041321E1,-2.812884712E1,-3.777384949E1
7.220144042E0,-2.451191711E1,-2.620439720E1,-3.927929306E1
7.320633042E0,-2.397855377E1,-2.070180893E1,-4.318669128E1
7.421122042E0,-2.399896049E1,-1.433851242E1,-4.634866714E1
7.521611042E0,-2.295280838E1,-1.050549889E1,-4.793783951E1
7.622100042E0,-2.276190948E1,-8.559165955E0,-4.821172714E1
