"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,2.454895020E-2,2.250719604E0,9.532626801E0
1.004880000E-1,2.634521484E-2,2.267784119E0,9.549092560E0
2.009751250E-1,2.020797729E-2,2.252964935E0,9.550140381E0
3.014631250E-1,1.826202393E-2,2.254761200E0,9.559570770E0
4.019501250E-1,1.945953369E-2,2.253713379E0,9.549242249E0
5.024381250E-1,2.544708252E-2,2.259102173E0,9.563462677E0
6.029251250E-1,1.736389160E-2,2.257305908E0,9.537117462E0
7.034121250E-1,1.257385254E-2,2.258503418E0,9.545500031E0
8.039001250E-1,1.541793823E-2,2.255359955E0,9.546547852E0
9.043871250E-1,2.694396973E-2,2.255659332E0,9.541009369E0
1.004874125E0,2.275268555E-2,2.257455597E0,9.540111237E0
1.105362125E0,1.676513672E-2,2.250719604E0,9.548793182E0
1.205848375E0,3.188369751E-2,2.250420227E0,9.551038513E0
1.306335375E0,2.125579834E-2,2.254761200E0,9.540111237E0
1.406823375E0,1.631607056E-2,2.245929565E0,9.535919952E0
1.507310375E0,2.245330811E-2,2.249372406E0,9.548194427E0
1.607797375E0,2.305206299E-2,2.254761200E0,9.554032288E0
1.708285375E0,2.215393066E-2,2.253563690E0,9.553433533E0
1.808772375E0,2.993774414E-2,2.252964935E0,9.551637268E0
1.909259375E0,2.005828857E-2,2.256108398E0,9.546547852E0
2.009746375E0,2.185455322E-2,2.259251862E0,9.547895050E0
2.110234250E0,2.350112915E-2,2.254910889E0,9.545050964E0
2.210721250E0,2.529739380E-2,2.250869293E0,9.552086334E0
2.311208250E0,2.365081787E-2,2.258353729E0,9.529034271E0
2.411695250E0,2.140548706E-2,2.250270538E0,9.546847229E0
2.512182250E0,2.320175171E-2,2.252665558E0,9.543853455E0
2.612669250E0,2.245330811E-2,2.254012756E0,9.532477112E0
2.713157250E0,2.724334717E-2,2.249971161E0,9.554631042E0
2.813644250E0,2.395019531E-2,2.254910889E0,9.548344116E0
2.914131250E0,2.409988403E-2,2.267335052E0,9.533973999E0
3.014618250E0,2.005828857E-2,2.255809021E0,9.536069641E0
3.115108750E0,2.454895020E-2,2.256108398E0,9.538165283E0
3.215595750E0,1.721420288E-2,2.266137543E0,9.541159058E0
3.316082750E0,2.080673218E-2,2.260748749E0,9.538614349E0
3.416569750E0,2.290237427E-2,2.259401550E0,9.556876373E0
3.517056750E0,2.978805542E-2,2.255509644E0,9.547445984E0
3.617543750E0,1.826202393E-2,2.258653107E0,9.546098785E0
3.718030750E0,2.320175171E-2,2.249671783E0,9.553283844E0
3.818517750E0,1.691482544E-2,2.260449371E0,9.548194427E0
3.919004750E0,3.113525391E-2,2.259700928E0,9.549092560E0
4.019491750E0,1.377136230E-2,2.257605286E0,9.541159058E0
4.119978750E0,2.903961182E-2,2.253563690E0,9.547445984E0
4.220465750E0,2.395019531E-2,2.248923340E0,9.541009369E0
4.320952750E0,1.601669312E-2,2.254162445E0,9.531728668E0
4.421439750E0,2.409988403E-2,2.264191589E0,9.534423065E0
4.521926750E0,1.886077881E-2,2.258802795E0,9.538913727E0
4.622413750E0,2.050735474E-2,2.257006531E0,9.529932404E0
4.722900750E0,3.218307495E-2,2.258952484E0,9.541458435E0
4.823387750E0,1.945953369E-2,2.268981628E0,9.541757812E0
4.923874750E0,2.754272461E-2,2.250569916E0,9.558522949E0
5.024360750E0,2.245330811E-2,2.244582367E0,9.558073883E0
5.124844125E0,2.559677124E-2,2.270328827E0,9.540560303E0
5.225331125E0,2.424957275E-2,2.269580383E0,9.525142365E0
5.325818125E0,2.439926147E-2,2.253414001E0,9.562414856E0
5.426305125E0,1.736389160E-2,2.267185364E0,9.539961548E0
5.526792125E0,1.826202393E-2,2.268233185E0,9.597891083E0
5.627278125E0,2.784210205E-2,2.245031433E0,9.552086334E0
5.727765125E0,2.829116821E-2,2.257305908E0,9.547745361E0
5.828252125E0,1.377136230E-2,2.264041901E0,9.535470886E0
5.928739125E0,2.664459229E-2,2.268682251E0,9.554631042E0
6.029225125E0,2.005828857E-2,2.256407776E0,9.558223572E0
6.129713042E0,1.511856079E-2,2.248474274E0,9.530980225E0
6.230200042E0,2.784210205E-2,2.260449371E0,9.565857697E0
6.330687042E0,2.125579834E-2,2.245181122E0,9.538913727E0
