"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.647600002E-2,8.886810392E-4,-3.013913520E-4,-9.113140404E-4
1.469641250E-1,2.259726636E-3,8.324445225E-4,5.471671466E-4
2.474511250E-1,2.014971338E-3,1.153718680E-3,1.551118679E-3
3.479381250E-1,5.193129182E-4,1.876850612E-3,-2.728505060E-4
4.484261250E-1,1.570069231E-3,-3.163516521E-5,-7.227081805E-4
5.489131250E-1,-3.502871841E-4,2.261679620E-4,2.097934484E-4
6.494011250E-1,2.310879529E-3,-7.616975345E-4,-1.327631297E-3
7.498881250E-1,1.063119620E-3,-5.093677901E-4,-2.326699905E-5
8.503751250E-1,-7.274448872E-4,5.667866208E-4,-4.406927619E-4
9.508631250E-1,-7.787635550E-4,7.882695645E-4,1.849611290E-3
1.051350125E0,8.037034422E-5,6.540776230E-4,7.799852174E-4
1.151836375E0,-2.581356093E-3,-4.903017543E-4,-7.453220896E-4
1.252324375E0,-1.429742202E-3,2.868594602E-4,-8.273245767E-4
1.352811375E0,-1.015278511E-3,-8.210833184E-4,4.213326611E-5
1.453298375E0,-4.067858681E-4,-1.970146783E-3,1.320284791E-4
1.553786375E0,-3.843478858E-3,-8.709318936E-4,-2.057016827E-4
1.654273375E0,5.150083452E-4,-2.713133581E-4,-4.125104751E-4
1.754760375E0,-9.306464344E-4,6.016157568E-5,-1.153193880E-4
1.855248375E0,-1.627336256E-3,1.635493711E-3,-8.280158509E-4
1.955735375E0,8.407672867E-4,3.275847994E-4,-1.205098117E-3
2.056222375E0,1.556706615E-3,1.105620991E-3,4.188036546E-4
2.156709250E0,-2.707890235E-3,1.175744459E-3,-1.050472260E-3
2.257196250E0,2.071906812E-3,2.120922320E-3,3.811118659E-4
2.357684250E0,1.131370664E-5,-6.768074818E-4,1.167942071E-3
2.458171250E0,2.715264447E-3,-3.213987220E-3,2.497365931E-3
2.558658250E0,-6.702756509E-4,2.306140959E-4,-3.346083686E-4
2.659145250E0,-4.740031436E-4,1.719538122E-4,1.336423447E-3
2.759632250E0,-2.027318813E-3,1.043817028E-4,-3.458894789E-4
2.860119250E0,-8.720895275E-4,-1.508376095E-3,1.564165577E-4
2.960606250E0,-2.310575917E-3,1.559099648E-3,-1.378048910E-3
3.061093250E0,-1.254392788E-3,6.175450981E-4,-2.067554742E-4
3.161584750E0,-3.782097250E-3,-2.305108588E-3,8.510688785E-4
3.262071750E0,-5.546249449E-4,1.927199773E-4,1.801582985E-4
3.362558750E0,5.076229572E-4,-3.362659598E-3,2.715925220E-4
3.463045750E0,-2.043826506E-3,-4.529277794E-4,-7.712622173E-4
3.563532750E0,1.788624562E-3,2.440867014E-3,1.255220268E-4
3.664019750E0,3.179709427E-3,1.618486363E-3,-2.099232748E-3
3.764506750E0,-1.248979941E-3,1.429453027E-3,5.356413312E-4
3.864993750E0,-7.215598598E-4,1.631056424E-3,-3.701385576E-4
3.965480750E0,5.591642112E-4,-1.249879599E-3,2.317137783E-3
4.065967750E0,1.228382811E-3,9.263674729E-4,1.662026159E-3
4.166454750E0,-7.125986740E-4,-1.983226743E-3,-2.240985632E-4
4.266941750E0,2.320372500E-3,3.747288138E-4,1.323536038E-3
4.367428750E0,1.905206591E-4,-2.139095683E-3,-4.400929902E-4
4.467915750E0,1.978559420E-3,-3.011045046E-4,-1.400208566E-3
4.568401750E0,2.323258668E-4,-4.790257663E-4,-5.143608432E-4
4.668888750E0,-1.153368503E-3,6.170775741E-4,-3.199058119E-4
4.769375750E0,-1.437974162E-3,3.151586279E-3,-1.362413866E-3
4.869862750E0,-2.028774470E-4,5.289120600E-4,-2.295492217E-3
4.970349750E0,-2.577556297E-4,3.876843490E-3,6.719937082E-4
5.070836750E0,1.030876301E-3,-1.122400630E-3,-3.656500485E-4
5.171320125E0,1.063255593E-3,2.302112989E-4,1.250996254E-3
5.271807125E0,1.316918060E-3,1.194352284E-3,-4.500085488E-4
5.372293125E0,-1.337043941E-3,1.301767770E-3,1.658126013E-3
5.472780125E0,2.067939378E-3,2.567389049E-3,1.774241915E-3
5.573267125E0,1.322984695E-3,2.772770822E-4,1.828933368E-3
