"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.570205000E-1,-5.470719188E-4,2.118348144E-3,-2.101146150E-3
2.575105000E-1,9.428309277E-4,-2.691810951E-4,1.034317771E-3
3.580015000E-1,-2.454286441E-4,2.853232436E-4,7.026840467E-4
4.584915000E-1,-6.245654076E-4,-2.211081330E-3,-1.908831997E-3
5.589825000E-1,1.619756222E-5,1.223615836E-3,-1.117729116E-4
6.594735000E-1,3.240557387E-3,-7.678610273E-4,-9.467687923E-4
7.599635000E-1,4.163533449E-4,1.859941054E-3,-2.815688727E-3
8.604545000E-1,-1.039295457E-3,-9.076306596E-4,1.645816490E-3
9.609445000E-1,-2.587959170E-3,-3.254511394E-4,6.292185280E-4
1.061435500E0,1.594450325E-3,3.412337974E-4,1.015607500E-3
1.161926417E0,-4.419805482E-4,1.748299226E-3,1.794297714E-4
1.262416417E0,-1.159774140E-3,-2.130175941E-3,5.222959444E-4
1.362907417E0,-1.534269191E-3,6.142253987E-4,-2.212622203E-4
1.463398417E0,-1.249886118E-3,1.972229220E-4,-1.407964155E-4
1.563888417E0,-9.689712897E-4,-5.624513142E-4,1.212302595E-4
1.664379417E0,3.827363253E-4,2.877358813E-3,1.605388708E-3
1.764870417E0,4.021963105E-4,-1.864832360E-3,3.833714873E-4
1.865360417E0,-1.508288085E-3,-1.599487383E-3,5.224319175E-4
1.965851417E0,-1.794937998E-5,3.489071038E-3,1.005835366E-3
2.066342417E0,2.374332398E-4,-1.262295526E-3,1.396323787E-3
2.166830875E0,-4.313420504E-5,1.036864705E-4,6.608408876E-5
2.267320875E0,1.557854936E-3,-2.158053219E-3,2.239418682E-4
2.367811875E0,1.266260631E-3,-6.839032285E-4,1.161544584E-3
2.468302875E0,1.008245163E-3,-1.072311308E-3,4.829154350E-4
2.568793875E0,-2.585749142E-3,-9.497581050E-4,-4.328845534E-4
2.669284875E0,1.430923119E-3,6.265412085E-4,1.800722908E-3
2.769775875E0,-3.161868080E-4,9.670173749E-4,9.219301865E-5
2.870266875E0,1.452891156E-4,-5.135932006E-4,4.513266031E-4
2.970757875E0,-1.468985341E-3,1.534607261E-3,-2.436392242E-3
3.071248875E0,-3.450178541E-3,-8.241995238E-4,9.455857798E-5
3.171738417E0,1.335435547E-3,2.815720625E-3,-3.249054076E-3
3.272229417E0,1.388863660E-3,5.926261656E-4,-9.751755279E-4
3.372720417E0,-7.293270901E-4,-2.454719041E-3,7.276167162E-5
3.473211417E0,-1.577997580E-3,9.337686934E-4,7.524522953E-4
3.573703417E0,-7.546944544E-4,8.040266111E-4,-3.916332498E-4
3.674194417E0,3.731260076E-3,-5.124909803E-4,6.352714263E-4
3.774685417E0,3.152005374E-4,-2.999827266E-4,-8.057244122E-5
3.875176417E0,2.350201830E-3,7.044305094E-4,-3.075546119E-4
3.975667417E0,4.683528095E-5,2.730193548E-3,1.740067964E-3
4.076158417E0,-9.786291048E-4,2.088742331E-4,4.514979664E-4
4.176649292E0,1.000218093E-3,9.710518643E-4,-9.348851163E-4
4.277140292E0,2.211083658E-3,8.996031247E-4,-1.053633168E-3
4.377631292E0,7.191589102E-4,-5.053761415E-4,1.720770495E-3
4.478122292E0,-1.348040067E-3,1.324195415E-3,-5.567213520E-6
4.578614292E0,-9.636571631E-4,-1.207361929E-4,-8.481964469E-4
4.679105292E0,-2.450844273E-3,-7.949597202E-4,-2.943084110E-4
4.779596292E0,-5.021607503E-4,8.860444650E-4,9.123585187E-5
4.880087292E0,-1.667648554E-3,-2.217884175E-4,-2.421491081E-3
4.980578292E0,-6.387103349E-4,1.673411112E-3,-1.831845148E-3
5.081069292E0,7.563289255E-4,2.933317330E-3,6.239835639E-4
5.181560875E0,1.477450132E-4,-5.270778202E-4,6.176934112E-4
5.282052875E0,3.007417545E-4,-1.637369860E-3,-2.892982913E-3
5.382543875E0,-3.173016012E-5,4.203571007E-4,1.381053124E-3
5.483034875E0,1.031467691E-4,-4.034405574E-4,-6.783409044E-4
5.583525875E0,8.279727772E-4,1.044106204E-3,1.463450026E-3
5.684016875E0,2.220561728E-3,5.804318935E-4,7.597764488E-4
5.784508875E0,2.473268658E-3,-2.111014910E-4,6.586003583E-4
5.884999875E0,2.363837324E-3,-2.397885546E-3,3.839780111E-4
