"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.227106113E1,-7.180671653E1,1.531585808E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.293400764E-1,4.227106113E1,-7.180671653E1,1.531585808E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.979660511E-1,4.227106370E1,-7.180665034E1,1.531587944E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.258216023E0,4.227106292E1,-7.180665354E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.063484073E0,4.227107111E1,-7.180674655E1,1.531587715E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.627750039E0,4.227107430E1,-7.180678119E1,1.531587715E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.963038898E1,4.227107475E1,-7.180679153E1,1.531587715E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.562575197E1,4.227107598E1,-7.180683500E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.163328397E1,4.227106843E1,-7.180679402E1,1.531587715E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.762042499E1,4.227106696E1,-7.180681293E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.363355803E1,4.227106661E1,-7.180675881E1,1.531565628E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.963131702E1,4.227107187E1,-7.180678089E1,1.531567421E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.562748206E1,4.227106967E1,-7.180673903E1,1.531569023E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.162706697E1,4.227106487E1,-7.180668540E1,1.531570435E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.762710702E1,4.227106543E1,-7.180672075E1,1.531571579E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.363172996E1,4.227106486E1,-7.180668773E1,1.531572762E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.654671800E1,4.227106675E1,-7.180667405E1,1.531573677E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.701356697E1,4.227106647E1,-7.180675223E1,1.531574249E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.263094401E1,4.227106453E1,-7.180674287E1,1.531575089E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.862943602E1,4.227106325E1,-7.180676329E1,1.531575584E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.462155199E1,4.227107081E1,-7.180682782E1,1.531576157E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.006276250E2,4.227106759E1,-7.180683077E1,1.531576653E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.066283140E2,4.227106638E1,-7.180677208E1,1.531577187E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.126290060E2,4.227106608E1,-7.180671812E1,1.531577797E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.186219441E2,4.227106608E1,-7.180675199E1,1.531578102E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
