"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.457220000E-1,-1.555415690E-1,5.707218871E-2,-9.753762931E-2
2.462202917E-1,-1.169510260E-1,2.202472240E-1,-1.244393513E-1
3.467182917E-1,2.103991807E-1,-1.124539133E-2,-1.533534974E-1
4.472162917E-1,1.580033004E-1,-1.917148009E-3,-4.606540874E-2
5.477142917E-1,8.978464454E-2,-1.437331140E-1,5.297246575E-2
6.482122916E-1,3.169475123E-2,-3.766117990E-2,1.487342268E-1
7.487112916E-1,-5.939578637E-2,-2.734848857E-2,1.111392900E-1
8.492092917E-1,-1.251317281E-2,2.460931689E-1,1.589005291E-1
9.497072917E-1,-1.990196705E-1,-1.666131318E-1,1.687316597E-1
1.050205292E0,-3.122636974E-1,-1.452482045E-1,1.301813722E-1
1.150703292E0,-1.349307448E-1,-2.891874015E-1,1.781336218E-1
1.251201875E0,1.011617109E-1,-5.423878133E-2,9.198500961E-2
1.351699875E0,-7.996397465E-2,9.025970846E-2,1.940605640E-1
1.452197875E0,-3.970600367E-1,6.595181674E-2,-2.169849873E-1
1.552695875E0,6.313352585E-1,-1.927890629E-1,7.050549239E-2
1.653193875E0,-3.166266531E-2,4.192891717E-1,-5.701519251E-1
1.753691875E0,2.836881876E-1,-1.785262078E-1,-6.031893194E-2
1.854188875E0,-6.733549386E-2,1.360615045E-1,-8.645463735E-2
1.954686875E0,-1.658754945E-1,-8.276422322E-2,3.030937016E-1
2.055184875E0,-2.685680687E-1,2.469379306E-1,1.633235365E-1
2.155682875E0,7.383177876E-1,-5.779893994E-1,5.557736754E-2
2.256179917E0,-1.676797420E-1,1.177220345E-1,1.535173040E-3
2.356677917E0,-1.067325771E-1,3.026705608E-2,6.206765026E-2
2.457175917E0,-3.347467631E-2,5.309252441E-2,-2.196957730E-2
2.557673917E0,2.656604648E-1,1.291226298E-1,-2.477619499E-1
2.658170917E0,3.898597062E-1,-1.431578547E-1,-1.862263829E-1
2.758668917E0,-1.424512416E-1,3.925896287E-1,-1.294781864E-1
2.859166917E0,4.420443624E-2,-3.714256883E-1,5.153385550E-2
2.959664917E0,-1.146811321E-1,2.039765120E-1,-1.114476994E-1
3.060162917E0,-1.058565173E-2,1.057100743E-1,-8.107277006E-2
3.160661917E0,1.511965692E-1,-1.040917262E-2,1.272435933E-1
3.261159250E0,9.921615571E-2,-1.087743267E-1,9.514216334E-2
3.361657250E0,1.286289282E-2,-2.719052434E-1,8.107478730E-3
3.462156250E0,-3.829618990E-1,2.014470845E-1,6.669745594E-2
3.562654250E0,-1.840418577E-1,-1.708528101E-1,9.582594782E-2
3.663153250E0,-1.696868688E-1,-1.541125178E-1,1.230379939E-1
3.763651250E0,2.565211058E-1,-1.383826137E-3,-4.290938377E-2
3.864150250E0,-1.696842313E-1,1.740732044E-2,-3.136292398E-1
3.964649250E0,-4.984701425E-2,-3.546588719E-1,-3.346683085E-1
4.065148250E0,-1.678487957E-1,4.599322975E-1,-1.922963411E-1
4.165647250E0,4.783242196E-2,1.355055124E-1,-7.592687756E-2
4.266146625E0,4.091216251E-2,-1.684233844E-1,-1.230182722E-1
4.366645625E0,6.724346429E-2,-1.975617930E-2,-3.875003755E-2
4.467144625E0,2.316969782E-1,8.575472981E-3,1.157645211E-1
4.567643625E0,8.970835060E-2,-3.365691900E-1,3.260341659E-2
4.668142625E0,4.309821129E-1,-2.206251919E-1,2.609686553E-1
4.768641625E0,-3.266398907E-1,1.834804267E-1,1.017126888E-1
4.869140625E0,-1.717389002E-2,-7.112446427E-2,1.830532700E-1
4.969639625E0,5.744828843E-3,-5.514147133E-2,1.665638834E-1
5.070139625E0,1.566540450E-1,-1.236590520E-1,1.379306018E-1
5.170638625E0,8.871056885E-2,2.434253544E-1,-4.999314249E-2
5.271140625E0,-1.709678322E-1,6.886793673E-2,-5.660911798E-1
5.371640625E0,-3.630788922E-1,1.316581517E-1,-2.084265500E-1
5.472139625E0,7.136111706E-2,1.241570115E-1,-4.617944062E-1
