"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.227092637E1,-7.180656658E1,1.531342773E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.182850122E-1,4.227097242E1,-7.180679316E1,1.531341858E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.383175015E0,4.227093003E1,-7.180675156E1,1.531380730E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.971579790E0,4.227103619E1,-7.180684339E1,1.530210619E2,1.802705407E0,1.404163184E2,5.250283699E1,5.250283699E1
3.971587658E0,4.227101291E1,-7.180678530E1,1.531719935E2,1.802705407E0,1.398834379E2,2.918793376E1,2.918793376E1
4.971594214E0,4.227098529E1,-7.180679175E1,1.522680096E2,1.591917157E0,1.645146495E2,2.124322874E1,2.124322874E1
5.921599865E0,4.227097224E1,-7.180678722E1,1.521206319E2,1.484389544E0,1.808475103E2,1.752340359E1,1.752340359E1
6.871605873E0,4.227095692E1,-7.180677011E1,1.519123804E2,1.095210433E0,1.829587313E2,1.437014206E1,1.437014206E1
7.821612597E0,4.227093275E1,-7.180676114E1,1.514978610E2,1.249960423E0,1.740346619E2,1.258831896E1,1.258831896E1
8.770969391E0,4.227091809E1,-7.180675323E1,1.516601211E2,1.249960423E0,1.653888271E2,1.141057446E1,1.141057446E1
9.721031785E0,4.227090601E1,-7.180674252E1,1.517889382E2,1.201182008E0,1.706359049E2,1.088235511E1,1.088235511E1
1.067109060E1,4.227089536E1,-7.180673024E1,1.517709782E2,1.129257083E0,1.813454241E2,1.038493258E1,1.038493258E1
1.162116301E1,4.227088288E1,-7.180673098E1,1.514876987E2,1.124763727E0,1.981994999E2,9.717193694E0,9.717193694E0
1.257122183E1,4.227086978E1,-7.180672303E1,1.512613782E2,1.268995285E0,1.953822618E2,9.269335178E0,9.269335178E0
1.352128804E1,4.227085511E1,-7.180671538E1,1.511067039E2,1.570929885E0,1.722011319E2,8.562365860E0,8.562365860E0
1.449434900E1,4.227084453E1,-7.180671366E1,1.508471124E2,1.322247267E0,1.781614152E2,7.856123878E0,7.856123878E0
1.549441421E1,4.227083263E1,-7.180671315E1,1.508471126E2,1.322247267E0,1.781614156E2,7.856123878E0,7.856123878E0
1.649447370E1,4.227081980E1,-7.180671091E1,1.507780226E2,1.322247267E0,1.729819457E2,7.755276074E0,7.755276074E0
1.749453390E1,4.227081118E1,-7.180670419E1,1.509010827E2,1.322247267E0,1.600412008E2,7.802295582E0,7.802295582E0
1.849458766E1,4.227080397E1,-7.180670869E1,1.510031344E2,1.210257292E0,1.675406198E2,7.778716445E0,7.778716445E0
1.949464023E1,4.227079565E1,-7.180671584E1,1.510706949E2,1.213186741E0,1.743917217E2,7.617366102E0,7.617366102E0
2.049468434E1,4.227078748E1,-7.180671807E1,1.511916783E2,1.210257292E0,1.750816756E2,7.463451281E0,7.463451281E0
2.149473393E1,4.227078156E1,-7.180672260E1,1.512003691E2,1.163354039E0,1.674966340E2,7.744387327E0,7.744387327E0
2.249477375E1,4.227077278E1,-7.180674111E1,1.513191117E2,8.044047356E-1,1.901200284E2,7.458841611E0,7.458841611E0
2.349481952E1,4.227075692E1,-7.180673631E1,1.512934755E2,1.247522950E0,1.816042381E2,7.121252828E0,7.121252828E0
2.449486649E1,4.227074794E1,-7.180672718E1,1.514311028E2,1.247522950E0,1.714153709E2,6.710254074E0,6.710254074E0
2.549491084E1,4.227073354E1,-7.180672186E1,1.514738258E2,1.247522950E0,1.625278437E2,6.563140760E0,6.563140760E0
2.649494362E1,4.227072282E1,-7.180672278E1,1.515028384E2,9.769677520E-1,1.723508777E2,6.382899194E0,6.382899194E0
2.749498272E1,4.227071698E1,-7.180672713E1,1.515760691E2,9.769677520E-1,1.940919474E2,6.190387984E0,6.190387984E0
2.849501574E1,4.227070788E1,-7.180672797E1,1.516289837E2,8.175606132E-1,1.888243947E2,8.777128880E0,8.777128880E0
2.949505270E1,4.227069180E1,-7.180671519E1,1.516200716E2,8.175606132E-1,1.868760277E2,6.654752394E0,6.654752394E0
3.049508333E1,4.227067048E1,-7.180671429E1,1.516821465E2,9.186931849E-1,1.845544236E2,7.274480683E0,7.274480683E0
3.149511218E1,4.227065268E1,-7.180670939E1,1.518206525E2,1.201319337E0,1.753751303E2,7.331934115E0,7.331934115E0
3.249514544E1,4.227064152E1,-7.180670529E1,1.517459599E2,1.201319337E0,1.803174086E2,5.739262943E0,5.739262943E0
3.349516988E1,4.227062798E1,-7.180669727E1,1.517760636E2,1.201319337E0,1.857645162E2,5.647647283E0,5.647647283E0
3.449519789E1,4.227063091E1,-7.180670307E1,1.517579244E2,7.099347115E-1,2.042557893E2,5.554168418E0,5.554168418E0
3.549522591E1,4.227061418E1,-7.180666216E1,1.524225620E2,9.909055166E-1,1.900220377E2,4.869635391E0,4.869635391E0
3.649524581E1,4.227060736E1,-7.180667228E1,1.525353405E2,9.462227446E-1,1.627990433E2,4.718387983E0,4.718387983E0
3.749528742E1,4.227058991E1,-7.180667735E1,1.521566791E2,1.352100188E0,1.775005795E2,4.719074458E0,4.719074458E0
3.849529219E1,4.227058457E1,-7.180668393E1,1.523460858E2,1.022558076E0,1.834232021E2,4.733630385E0,4.733630385E0
3.949531424E1,4.227058369E1,-7.180668932E1,1.523115170E2,9.167456755E-1,1.748237613E2,4.646652055E0,4.646652055E0
4.049533403E1,4.227056891E1,-7.180669035E1,1.520981215E2,1.174609079E0,1.767314579E2,4.644057377E0,4.644057377E0
4.149535298E1,4.227055824E1,-7.180669774E1,1.523782983E2,1.163194118E0,1.824610460E2,4.645645344E0,4.645645344E0
4.249537241E1,4.227055263E1,-7.180670599E1,1.522777244E2,1.013299188E0,1.878979246E2,4.654838829E0,4.654838829E0
4.349539125E1,4.227054258E1,-7.180670571E1,1.524243145E2,9.662104438E-1,1.865485696E2,4.666955633E0,4.666955633E0
4.449540806E1,4.227052858E1,-7.180670812E1,1.529557873E2,1.056600513E0,1.844517748E2,4.657170912E0,4.657170912E0
4.549542761E1,4.227051788E1,-7.180671690E1,1.523470972E2,1.099801075E0,1.826217206E2,4.650299790E0,4.650299790E0
4.649544227E1,4.227050602E1,-7.180672721E1,1.523322642E2,1.209161755E0,1.842735014E2,4.659311536E0,4.659311536E0
4.749545932E1,4.227049867E1,-7.180673009E1,1.524929532E2,1.010164553E0,1.845688137E2,4.657882539E0,4.657882539E0
4.849547350E1,4.227048680E1,-7.180673510E1,1.527532065E2,1.121367811E0,1.844191567E2,4.675972012E0,4.675972012E0
4.949548864E1,4.227047775E1,-7.180674035E1,1.526579735E2,1.080920110E0,1.853239779E2,4.711638823E0,4.711638823E0
5.049550247E1,4.227046586E1,-7.180674697E1,1.528563772E2,1.133660412E0,1.906454192E2,4.703231677E0,4.703231677E0
5.149551737E1,4.227045468E1,-7.180674825E1,1.530310310E2,1.183210587E0,1.896253163E2,4.682244261E0,4.682244261E0
5.249552965E1,4.227044310E1,-7.180675252E1,1.533415978E2,1.200696489E0,1.881675186E2,4.692925249E0,4.692925249E0
5.349554408E1,4.227043398E1,-7.180675436E1,1.535102127E2,1.105042303E0,1.878407762E2,4.702518032E0,4.702518032E0
5.449555612E1,4.227042574E1,-7.180675547E1,1.534668216E2,1.007446346E0,1.878806767E2,4.732770311E0,4.732770311E0
5.549556923E1,4.227041354E1,-7.180675284E1,1.529749364E2,1.051723087E0,1.820603644E2,4.760815423E0,4.760815423E0
5.649558079E1,4.227040138E1,-7.180675237E1,1.534145187E2,1.138912315E0,1.815453029E2,4.764610789E0,4.764610789E0
5.749559259E1,4.227038565E1,-7.180675013E1,1.535612080E2,1.170774722E0,1.788797760E2,4.736910875E0,4.736910875E0
5.849560535E1,4.227036899E1,-7.180674590E1,1.532739108E2,1.229148602E0,1.807424217E2,4.720872420E0,4.720872420E0
5.949561727E1,4.227035316E1,-7.180674136E1,1.532085220E2,1.342073133E0,1.792405585E2,4.732180609E0,4.732180609E0
6.049562752E1,4.227034404E1,-7.180674125E1,1.532991808E2,1.146859373E0,1.836580495E2,4.740834743E0,4.740834743E0
6.149563766E1,4.227032756E1,-7.180674239E1,1.530962615E2,1.343748759E0,1.847260572E2,4.757491367E0,4.757491367E0
6.249564946E1,4.227031016E1,-7.180673624E1,1.533941425E2,1.575396617E0,1.832661659E2,4.778152715E0,4.778152715E0
6.349565852E1,4.227029694E1,-7.180673224E1,1.536338986E2,1.465591391E0,1.799181770E2,4.775937346E0,4.775937346E0
6.449567473E1,4.227028388E1,-7.180672823E1,1.537617985E2,1.338332656E0,1.750334991E2,4.766108821E0,4.766108821E0
6.549568164E1,4.227026733E1,-7.180672667E1,1.538296513E2,1.368530762E0,1.762402151E2,4.770601601E0,4.770601601E0
6.649568987E1,4.227025413E1,-7.180673100E1,1.542653882E2,1.235183772E0,1.815341138E2,4.762874022E0,4.762874022E0
6.749570048E1,4.227024091E1,-7.180673159E1,1.545752706E2,1.114371174E0,1.844918740E2,4.743965257E0,4.743965257E0
6.849570990E1,4.227022464E1,-7.180673434E1,1.542890921E2,1.274232302E0,1.907024335E2,4.766377626E0,4.766377626E0
6.949572158E1,4.227021104E1,-7.180673101E1,1.545368591E2,1.251362062E0,1.899839469E2,4.777948965E0,4.777948965E0
7.049572945E1,4.227019450E1,-7.180672582E1,1.539817843E2,1.355717270E0,1.865001317E2,4.773340519E0,4.773340519E0
7.149573874E1,4.227018561E1,-7.180672602E1,1.539646671E2,1.118021725E0,1.870322175E2,4.747691449E0,4.747691449E0
7.249574828E1,4.227017457E1,-7.180672963E1,1.538716321E2,1.092501390E0,1.893167902E2,4.716917463E0,4.716917463E0
7.349575698E1,4.227016730E1,-7.180672694E1,1.542491500E2,1.002533208E0,1.855787714E2,4.708062674E0,4.708062674E0
7.449576724E1,4.227015832E1,-7.180672654E1,1.543090034E2,9.109620426E-1,1.877922828E2,4.720972005E0,4.720972005E0
7.549577594E1,4.227014750E1,-7.180672478E1,1.544800577E2,1.026998395E0,1.867178386E2,4.730655734E0,4.730655734E0
7.649578416E1,4.227013866E1,-7.180672339E1,1.545263978E2,1.008214733E0,1.881108366E2,4.726877704E0,4.726877704E0
7.749579334E1,4.227012634E1,-7.180672204E1,1.545190191E2,1.052258717E0,1.858218098E2,4.738914748E0,4.738914748E0
7.849580288E1,4.227011750E1,-7.180672044E1,1.548092310E2,8.866067936E-1,1.856659142E2,4.734626868E0,4.734626868E0
7.949581122E1,4.227010234E1,-7.180671328E1,1.548023890E2,1.153604659E0,1.798774785E2,4.730789903E0,4.730789903E0
8.049582016E1,4.227008864E1,-7.180670880E1,1.544141999E2,1.245149767E0,1.802052201E2,4.745790173E0,4.745790173E0
8.149582958E1,4.227007827E1,-7.180669958E1,1.543290357E2,1.109807720E0,1.757518707E2,4.745983237E0,4.745983237E0
8.249583817E1,4.227006489E1,-7.180669342E1,1.546964359E2,1.185114390E0,1.786420579E2,4.723508340E0,4.723508340E0
8.349584687E1,4.227004876E1,-7.180668938E1,1.541058917E2,1.364634605E0,1.795434738E2,4.731842203E0,4.731842203E0
8.449585855E1,4.227004146E1,-7.180668597E1,1.543686372E2,1.072629601E0,1.798607042E2,4.748385437E0,4.748385437E0
8.549586415E1,4.227003547E1,-7.180668322E1,1.531322501E2,8.958271728E-1,1.762377906E2,4.771656206E0,4.771656206E0
8.649587226E1,4.227002611E1,-7.180668416E1,1.524764823E2,8.565151077E-1,1.814465774E2,4.741291510E0,4.741291510E0
8.749588370E1,4.227000747E1,-7.180668412E1,1.540529256E2,1.111060896E0,1.835476266E2,4.724680769E0,4.724680769E0
8.849588990E1,4.226999357E1,-7.180668243E1,1.539069309E2,1.255650845E0,1.834493738E2,4.733306088E0,4.733306088E0
8.949590254E1,4.226998456E1,-7.180667925E1,1.534036188E2,1.133703402E0,1.870246095E2,4.720565185E0,4.720565185E0
