"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.457220000E-1,-1.284207916E1,-1.692409515E1,-4.512053299E1
2.462202917E-1,-1.223489761E1,-1.623425865E1,-4.495310974E1
3.467182917E-1,-1.154052258E1,-1.525382805E1,-4.585541916E1
4.472162917E-1,-1.102057266E1,-1.518279839E1,-4.566921997E1
5.477142917E-1,-1.034215832E1,-1.515263939E1,-4.556839371E1
6.482122916E-1,-1.005616093E1,-1.551384544E1,-4.534753036E1
7.487112916E-1,-9.923238754E0,-1.555657959E1,-4.559087372E1
8.492092917E-1,-9.538468361E0,-1.564097595E1,-4.534059906E1
9.497072917E-1,-8.145342827E0,-1.532549858E1,-4.602377701E1
1.050205292E0,-8.576809883E0,-1.438986206E1,-4.703294754E1
1.150703292E0,-9.532216072E0,-1.308301640E1,-4.763621140E1
1.251201875E0,-9.711220741E0,-1.207746315E1,-4.815812683E1
1.351699875E0,-1.009505844E1,-1.260393143E1,-4.789828491E1
1.452197875E0,-1.027817535E1,-1.192722511E1,-4.844277573E1
1.552695875E0,-9.003630638E0,-1.171134663E1,-4.886419678E1
1.653193875E0,-8.046731949E0,-1.281228447E1,-4.889160156E1
1.753691875E0,-6.246616364E0,-1.281886673E1,-4.905573273E1
1.854188875E0,-6.333431244E0,-1.396969032E1,-4.876707458E1
1.954686875E0,-6.037855148E0,-1.445433807E1,-4.877900314E1
2.055184875E0,-7.057280540E0,-1.487973976E1,-4.832350540E1
2.155682875E0,-6.660692215E0,-1.472512436E1,-4.874467468E1
2.256179917E0,-7.613740921E0,-1.704185867E1,-4.748957062E1
2.356677917E0,-7.115771294E0,-1.674746132E1,-4.798344421E1
2.457175917E0,-7.073772430E0,-1.645586586E1,-4.802344131E1
2.557673917E0,-6.218344688E0,-1.616917038E1,-4.788981247E1
2.658170917E0,-5.329096794E0,-1.731623650E1,-4.727602005E1
2.758668917E0,-6.617981911E0,-1.807408333E1,-4.648862457E1
2.859166917E0,-6.211496353E0,-1.783293152E1,-4.670533752E1
2.959664917E0,-6.524451256E0,-1.771880913E1,-4.661491013E1
3.060162917E0,-5.939053535E0,-1.768351173E1,-4.641216660E1
3.160661917E0,-5.202576637E0,-1.777416611E1,-4.629161072E1
3.261159250E0,-5.384881020E0,-1.832791710E1,-4.585922241E1
3.361657250E0,-5.544766426E0,-1.864746094E1,-4.590897369E1
3.462156250E0,-6.477021217E0,-1.942970085E1,-4.633003998E1
3.562654250E0,-5.956645012E0,-1.850417900E1,-4.723959351E1
3.663153250E0,-6.628287315E0,-1.819686699E1,-4.771269608E1
3.763651250E0,-6.968221664E0,-1.752856064E1,-4.821314621E1
3.864150250E0,-6.773963928E0,-1.840436935E1,-4.787702560E1
3.964649250E0,-5.733659744E0,-1.843274689E1,-4.796199799E1
4.065148250E0,-4.917744637E0,-1.805570602E1,-4.828929901E1
4.165647250E0,-4.521963120E0,-1.898175621E1,-4.814014816E1
4.266146625E0,-4.391510963E0,-1.970316315E1,-4.816284180E1
4.366645625E0,-4.755227089E0,-2.009904671E1,-4.805478287E1
4.467144625E0,-5.019725800E0,-2.037246513E1,-4.799223709E1
4.567643625E0,-5.785606384E0,-2.153851318E1,-4.751368713E1
4.668142625E0,-7.439992905E0,-2.271207237E1,-4.712524033E1
4.768641625E0,-8.787315369E0,-2.359881401E1,-4.697196198E1
4.869140625E0,-8.691943169E0,-2.272461128E1,-4.763418579E1
4.969639625E0,-9.538633347E0,-2.259790802E1,-4.816364670E1
5.070139625E0,-1.047827053E1,-2.289496422E1,-4.758310318E1
5.170638625E0,-1.100279522E1,-2.356631088E1,-4.664344406E1
5.271140625E0,-1.045417023E1,-2.360260201E1,-4.687383270E1
5.371640625E0,-8.878838539E0,-2.269587898E1,-4.715672684E1
5.472139625E0,-7.054419518E0,-2.180067253E1,-4.744116211E1
5.572639625E0,-4.798721313E0,-2.209833717E1,-4.664038849E1
5.673138625E0,-2.736488342E0,-2.127037048E1,-4.681452179E1
5.773638625E0,-2.495796204E0,-2.150107765E1,-4.637198257E1
5.874137625E0,-3.158243179E0,-2.188132858E1,-4.589088821E1
5.974637625E0,-5.311628342E0,-2.330865288E1,-4.509792328E1
6.075136625E0,-5.217185974E0,-2.195763206E1,-4.566691971E1
6.175636625E0,-5.664210320E0,-2.205482292E1,-4.563743591E1
6.276132542E0,-6.692234039E0,-2.257221603E1,-4.487364197E1
6.376632542E0,-7.124555588E0,-2.291306877E1,-4.410046768E1
6.477132542E0,-6.737055779E0,-2.241001511E1,-4.403925323E1
6.577631542E0,-3.654047012E0,-2.238067055E1,-4.359534454E1
6.678131542E0,-3.076757431E0,-2.112524796E1,-4.384663010E1
6.778631542E0,-2.055953979E0,-1.983245468E1,-4.375713348E1
6.879130542E0,-1.700702667E0,-1.915871239E1,-4.369305801E1
6.979630542E0,-1.333770752E0,-1.930677605E1,-4.360118103E1
7.080130542E0,-1.101379395E0,-2.020291328E1,-4.290586090E1
7.180629542E0,9.747505188E-2,-1.888755989E1,-4.369588470E1
7.281128750E0,6.607284546E-1,-1.728796577E1,-4.431756973E1
7.381628750E0,4.147853851E-1,-1.668666077E1,-4.440327072E1
7.482128750E0,1.817836761E-1,-1.616311264E1,-4.465348816E1
7.582628750E0,3.026962280E-2,-1.661830902E1,-4.413676453E1
7.683127750E0,5.945663452E-1,-1.646729660E1,-4.363742447E1
7.783627750E0,1.024580002E0,-1.627086830E1,-4.348309326E1
7.884127750E0,2.226924896E-1,-1.610745811E1,-4.360260773E1
7.984627750E0,-1.192092896E-3,-1.504703331E1,-4.354439163E1
8.085127750E0,-2.910099030E-1,-1.421633720E1,-4.366802979E1
8.185627750E0,-5.269222260E-1,-1.436046028E1,-4.356491852E1
8.286132167E0,-1.578590393E0,-1.499525261E1,-4.338402557E1
8.386632167E0,-2.401216507E0,-1.549500275E1,-4.328278732E1
8.487132167E0,-1.432998657E0,-1.544133949E1,-4.345186234E1
8.587631167E0,-2.148996353E0,-1.537382889E1,-4.417281723E1
8.688131167E0,-3.050197601E0,-1.511712456E1,-4.428428650E1
8.788631167E0,-3.092540741E0,-1.490382957E1,-4.451811600E1
8.889131167E0,-3.268157959E0,-1.575327682E1,-4.424330902E1
8.989631167E0,-3.526165009E0,-1.592076302E1,-4.445956039E1
9.090131167E0,-1.605422974E0,-1.468293953E1,-4.486412048E1
9.190631167E0,-2.672456741E0,-1.444838905E1,-4.485766983E1
9.291130417E0,-2.166460037E0,-1.422946167E1,-4.524088669E1
9.391630417E0,-2.459817886E0,-1.457931709E1,-4.487836838E1
9.492130417E0,-2.531543732E0,-1.625664520E1,-4.430015945E1
9.592630417E0,-2.523586273E0,-1.740233612E1,-4.387762451E1
9.693130417E0,-2.290391922E0,-1.723071289E1,-4.380550766E1
9.793629417E0,-1.999753952E0,-1.669005013E1,-4.403557968E1
9.894129417E0,-1.831546783E0,-1.468189049E1,-4.506020355E1
9.994628417E0,-2.181659698E0,-1.564642334E1,-4.472859573E1
1.009512842E1,-1.644947052E0,-1.652256966E1,-4.392848969E1
1.019562742E1,-8.074970245E-1,-1.590732765E1,-4.410176086E1
1.029612363E1,8.479251862E-1,-1.462423134E1,-4.433247757E1
1.039662263E1,1.089305878E0,-1.460642624E1,-4.367292404E1
1.049712162E1,2.085748672E0,-1.458489609E1,-4.302363205E1
1.059762062E1,2.396121979E0,-1.377430916E1,-4.305392456E1
1.069811962E1,2.762832642E0,-1.390675163E1,-4.311529922E1
1.079861862E1,2.151302338E0,-1.424837875E1,-4.303261948E1
1.089911763E1,1.196907043E0,-1.411823082E1,-4.368548203E1
1.099961663E1,-1.240537643E0,-1.612765121E1,-4.362630081E1
1.110011563E1,-1.899959564E0,-1.552443695E1,-4.422754288E1
1.120061463E1,-2.458848953E0,-1.581521416E1,-4.456682968E1
1.130111337E1,-2.690816879E0,-1.606419754E1,-4.473153687E1
