"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,9.816286926E0,-1.826202393E-2,9.924362183E-2
1.004930000E-1,9.804910583E0,-2.664459229E-2,9.669891357E-2
2.009850000E-1,9.812095642E0,-2.424957275E-2,1.110690308E-1
3.014770000E-1,9.799372101E0,-1.856140137E-2,1.157093811E-1
4.019690000E-1,9.815538483E0,-2.544708252E-2,9.939331055E-2
5.024610000E-1,9.816286926E0,-1.152603149E-2,8.891510010E-2
6.029540000E-1,9.819430389E0,-2.604583740E-2,9.520202637E-2
7.034460000E-1,9.823771362E0,-1.781295776E-2,9.265731812E-2
8.039340000E-1,9.816885681E0,-2.694396973E-2,8.816665649E-2
9.044260000E-1,9.810898132E0,-1.901046753E-2,1.076261902E-1
1.004918000E0,9.817185059E0,-2.065704346E-2,9.160949707E-2
1.105410000E0,9.811047821E0,-1.481918335E-2,1.002914429E-1
1.205902000E0,9.816286926E0,-1.377136230E-2,1.148112488E-1
1.306394000E0,9.818382568E0,-2.544708252E-2,1.035845947E-1
1.406886000E0,9.818981323E0,-1.571731567E-2,8.247848511E-2
1.507378000E0,9.817783813E0,-2.185455322E-2,8.996292114E-2
1.607870000E0,9.808353424E0,-2.290237427E-2,9.699829102E-2
1.708362000E0,9.815987549E0,-2.709365845E-2,8.592132568E-2
1.808854667E0,9.832004242E0,-2.215393066E-2,9.969268799E-2
1.909346667E0,9.824370117E0,-2.888992310E-2,9.370513916E-2
2.009838667E0,9.817185059E0,-1.466949463E-2,1.010398865E-1
2.110330667E0,9.820178833E0,-2.080673218E-2,9.250762939E-2
2.210822667E0,9.828112335E0,-2.769241333E-2,1.007405090E-1
2.311314667E0,9.812694397E0,-1.422042847E-2,7.768844604E-2
2.411806667E0,9.817783813E0,-1.975891113E-2,1.085243225E-1
2.512297667E0,9.813592529E0,-1.886077881E-2,1.047821045E-1
2.612789667E0,9.829309845E0,-2.245330811E-2,8.367599487E-2
2.713281667E0,9.811047821E0,-2.529739380E-2,1.091230774E-1
2.813773542E0,9.818083191E0,-1.856140137E-2,9.864486694E-2
2.914265542E0,9.812844086E0,-2.529739380E-2,9.894424438E-2
3.014756542E0,9.813143463E0,-2.694396973E-2,9.280700684E-2
3.115248542E0,9.812694397E0,-2.395019531E-2,1.037342834E-1
3.215740542E0,9.818232880E0,-1.466949463E-2,1.004411316E-1
3.316231542E0,9.818532257E0,-1.451980591E-2,1.016386414E-1
3.416723542E0,9.819280701E0,-1.107696533E-2,1.023870850E-1
3.517215542E0,9.813442841E0,-2.125579834E-2,9.804611206E-2
3.617706542E0,9.820029144E0,-2.589614868E-2,9.265731812E-2
3.718198542E0,9.821675720E0,-2.664459229E-2,1.040336609E-1
3.818689292E0,9.821076965E0,-2.245330811E-2,9.056167603E-2
3.919181292E0,9.822424164E0,-1.377136230E-2,9.909393311E-2
4.019673292E0,9.815987549E0,-1.886077881E-2,1.058299255E-1
4.120164292E0,9.824968872E0,-2.529739380E-2,9.131011963E-2
4.220656292E0,9.828112335E0,-2.110610962E-2,8.981323242E-2
4.321147292E0,9.820927277E0,-2.649490356E-2,1.025367737E-1
4.421639292E0,9.809401245E0,-2.020797729E-2,1.049317932E-1
4.522130292E0,9.819879456E0,-2.978805542E-2,8.981323242E-2
4.622621292E0,9.810449066E0,-2.260299683E-2,1.037342834E-1
4.723113292E0,9.820927277E0,-9.879455566E-3,7.903564453E-2
4.823604417E0,9.821076965E0,-2.260299683E-2,8.277786255E-2
4.924096417E0,9.812993774E0,-1.422042847E-2,1.052311707E-1
5.024587417E0,9.813442841E0,-2.110610962E-2,9.445358276E-2
5.125078417E0,9.811496887E0,-2.290237427E-2,1.014889526E-1
5.225570417E0,9.801467743E0,-1.960922241E-2,9.026229858E-2
5.326061417E0,9.817185059E0,-2.769241333E-2,8.861572266E-2
5.426552417E0,9.806856537E0,-1.930984497E-2,8.816665649E-2
5.527044417E0,9.829160156E0,-2.365081787E-2,9.894424438E-2
5.627535417E0,9.824070740E0,-1.556762695E-2,1.008901978E-1
5.728026417E0,9.814340973E0,-2.918930054E-2,9.160949707E-2
5.828517625E0,9.833950195E0,-2.424957275E-2,9.160949707E-2
5.929008625E0,9.836943970E0,-3.472778320E-2,9.205856323E-2
6.029500625E0,9.833201752E0,-2.709365845E-2,8.457412720E-2
6.129991625E0,9.823921051E0,-3.038681030E-2,9.220825195E-2
6.230482625E0,9.817185059E0,-1.242416382E-2,9.804611206E-2
6.330973625E0,9.804162140E0,-2.335144043E-2,1.017883301E-1
