"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.024000013E-3,-5.027316511E-4,7.486701943E-4,-2.668006346E-4
1.105340000E-1,1.050834544E-3,-8.248994127E-4,-2.113830298E-3
2.160440000E-1,8.272584528E-4,1.985649113E-3,8.955979720E-4
3.215550000E-1,2.200598828E-3,1.156222075E-3,3.325792495E-4
4.270650000E-1,-7.018260658E-5,-6.322222762E-4,5.130146164E-4
5.325750000E-1,-7.995497435E-4,6.159772165E-4,7.683224976E-4
6.380850000E-1,3.291194327E-3,9.222724475E-4,2.667322522E-3
7.435950000E-1,1.249239780E-3,-6.133280694E-4,-1.726090093E-3
8.491035000E-1,2.491893247E-4,-6.269598380E-4,-6.856988184E-4
9.546135000E-1,-3.736140206E-4,1.181414351E-3,2.502496354E-4
1.060123500E0,-8.495133370E-4,1.790102571E-3,-1.952450257E-4
1.165633500E0,2.292906865E-4,1.949822064E-3,-8.066263981E-4
1.271143500E0,-1.466048881E-3,-2.990297740E-3,2.628425136E-6
1.376653500E0,4.655085504E-4,1.464355737E-3,2.983432263E-3
1.482163500E0,3.459732980E-4,6.220820360E-4,1.945372671E-3
1.587673500E0,5.714986473E-4,-8.663358167E-4,-9.239423089E-4
1.693183500E0,-1.010642387E-3,1.870068256E-3,-7.254844531E-4
1.798693500E0,1.153835095E-3,6.502335891E-4,-8.949544281E-5
1.904204250E0,-1.029202715E-3,1.880628522E-3,-3.968519159E-4
2.009714250E0,3.594561480E-3,1.041278243E-3,-1.503435080E-3
2.115224250E0,2.680458128E-4,-2.866405994E-4,3.570131958E-5
2.220734250E0,5.372911692E-4,-1.481753308E-3,1.135058235E-3
2.326244250E0,7.742689922E-4,1.955523156E-3,7.613317575E-4
2.431754250E0,5.059372634E-4,4.967851564E-4,8.935926016E-4
2.537264250E0,3.054542467E-4,1.064287499E-3,1.216718229E-3
2.642774250E0,9.433906525E-4,-3.840839490E-4,1.467632130E-3
2.748284250E0,-6.141550839E-4,2.306463663E-3,-1.130634919E-4
2.853794792E0,1.629941165E-3,4.331469536E-4,2.359725069E-3
2.959303792E0,-1.289214008E-3,-3.787120804E-4,2.425560728E-3
3.064813792E0,1.660816371E-3,-4.304326139E-4,-2.259425819E-4
3.170323792E0,-1.732492819E-4,-1.567471772E-4,4.862835631E-4
3.275833792E0,-4.734257236E-4,1.157913357E-4,-2.232721541E-3
3.381343792E0,1.820019446E-3,2.831499837E-2,-5.596194416E-2
3.486853792E0,8.115367964E-4,2.543330565E-2,-1.281147636E-2
3.592362792E0,-5.080299452E-4,-5.761289038E-3,4.323657975E-2
3.697872792E0,4.783011973E-4,-3.130036592E-2,5.290450901E-2
3.803382792E0,-1.364675350E-3,-7.724659517E-4,1.626584912E-3
3.908895917E0,3.194911405E-4,-1.268536318E-3,3.085527569E-4
4.014405917E0,-1.189334318E-3,3.406112082E-4,1.282496378E-4
4.119914917E0,1.451721415E-3,-2.343175467E-3,-1.462202868E-3
4.225424917E0,2.659028396E-4,3.251208924E-3,-1.498784753E-3
4.330934917E0,8.787307888E-5,-1.871712971E-3,3.307266161E-5
4.436444917E0,-4.088860005E-4,1.421711873E-3,1.879170770E-3
4.541954917E0,1.455657184E-3,3.196061589E-4,6.534326822E-4
4.647463917E0,-6.488757208E-4,8.784146048E-4,-6.137588061E-4
4.752973917E0,1.222203486E-3,-3.146701492E-4,-1.386262360E-3
4.858479625E0,1.252821647E-3,-7.845442742E-4,-9.411007632E-4
4.963989625E0,-5.553476512E-5,-7.359501906E-4,1.492212527E-3
5.069498625E0,-2.086747438E-3,3.168922849E-4,-1.288434840E-3
5.175008625E0,6.753308699E-4,-1.549687702E-3,-3.177672625E-5
5.280518625E0,1.986045390E-4,-1.148040872E-3,-9.219667409E-4
5.386027625E0,1.142131165E-3,-2.397642937E-3,-8.251147810E-4
5.491537625E0,-1.797005534E-4,-8.349404670E-4,-6.369645707E-4
5.597047625E0,-1.031526364E-3,-2.414872870E-3,2.501111710E-3
5.702556625E0,-8.310656995E-5,-1.350839157E-3,-1.973428531E-3
