"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.788100000E-2,-2.047550201E1,-4.329121780E1,3.696412086E0
1.783720000E-1,-2.040352249E1,-4.338209152E1,3.901723862E0
2.788630000E-1,-2.045338249E1,-4.331270218E1,3.782673836E0
3.793540000E-1,-2.047698975E1,-4.315791702E1,3.382895947E0
4.798460000E-1,-2.048004532E1,-4.330763626E1,3.234392643E0
5.803370000E-1,-2.056396484E1,-4.317414093E1,3.239936829E0
6.808280000E-1,-2.047507095E1,-4.314297104E1,3.233772278E0
7.813204583E-1,-2.050874710E1,-4.313840485E1,3.179390907E0
8.818114583E-1,-2.056369019E1,-4.321517181E1,3.162421227E0
9.823024583E-1,-2.047344208E1,-4.330939102E1,3.123381615E0
1.082793458E0,-2.046129227E1,-4.309902191E1,3.194269657E0
1.183285458E0,-2.049610138E1,-4.318029785E1,2.933469772E0
1.283776458E0,-2.046321106E1,-4.326140594E1,3.161699295E0
1.384267458E0,-2.043868256E1,-4.308751297E1,3.082152843E0
1.484759458E0,-2.048970795E1,-4.317689133E1,3.065861225E0
1.585250458E0,-2.049593925E1,-4.334897232E1,3.360914707E0
1.685741458E0,-2.048613167E1,-4.325195312E1,3.023571968E0
1.786232583E0,-2.043304825E1,-4.327362442E1,2.946211338E0
1.886724583E0,-2.048624229E1,-4.330524445E1,3.231849194E0
1.987215583E0,-2.051697731E1,-4.317354202E1,2.969227791E0
2.087706583E0,-2.051762772E1,-4.327710342E1,2.842407703E0
2.188198583E0,-2.049246216E1,-4.327849579E1,2.883069038E0
2.288689583E0,-2.057175255E1,-4.332246399E1,2.791580200E0
2.389180583E0,-2.051932144E1,-4.333609009E1,3.246564388E0
2.489671583E0,-2.048731613E1,-4.328540802E1,3.039377213E0
2.590163583E0,-2.053679276E1,-4.318303680E1,2.998934269E0
2.690654583E0,-2.050407600E1,-4.315008545E1,2.994311333E0
2.791146208E0,-2.053661346E1,-4.310638428E1,2.870223045E0
2.891637208E0,-2.058032608E1,-4.336781311E1,3.108607769E0
2.992129208E0,-2.057126427E1,-4.330060196E1,3.242290974E0
3.092620208E0,-2.060953331E1,-4.318343353E1,3.024431705E0
3.193111208E0,-2.058443451E1,-4.324559784E1,2.991701126E0
3.293602208E0,-2.050678062E1,-4.318285751E1,2.851773262E0
3.394093208E0,-2.061537552E1,-4.323200226E1,2.862598896E0
3.494585208E0,-2.044340897E1,-4.331232452E1,3.035619259E0
3.595076208E0,-2.051106644E1,-4.333450317E1,3.074492931E0
3.695567208E0,-2.042797852E1,-4.337875748E1,2.984829903E0
3.796057375E0,-2.048526001E1,-4.327605820E1,3.124051094E0
3.896548375E0,-2.053975868E1,-4.333154678E1,3.096298218E0
3.997039375E0,-2.055544090E1,-4.323362350E1,3.083860397E0
4.097530375E0,-2.061696434E1,-4.322169495E1,3.228721619E0
4.198021375E0,-2.070226097E1,-4.307745743E1,3.302904606E0
4.298513375E0,-2.072567177E1,-4.302815247E1,2.920698643E0
