"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.647600002E-2,-1.946960449E1,-1.238279915E1,-4.128783798E1
1.469641250E-1,-1.952310181E1,-1.239579964E1,-4.158067322E1
2.474511250E-1,-1.951817322E1,-1.249631691E1,-4.140831757E1
3.479381250E-1,-1.950681305E1,-1.241642380E1,-4.151231384E1
4.484261250E-1,-1.955118370E1,-1.222204208E1,-4.175302124E1
5.489131250E-1,-1.957796478E1,-1.229428673E1,-4.158985901E1
6.494011250E-1,-1.937582207E1,-1.242610168E1,-4.158312988E1
7.498881250E-1,-1.948553085E1,-1.238197136E1,-4.147298813E1
8.503751250E-1,-1.944281960E1,-1.238311768E1,-4.140914154E1
9.508631250E-1,-1.944457245E1,-1.227328300E1,-4.154034042E1
1.051350125E0,-1.946392059E1,-1.218188095E1,-4.121720505E1
1.151836375E0,-1.957112694E1,-1.217320061E1,-4.151699829E1
1.252324375E0,-1.944704437E1,-1.240955544E1,-4.148682022E1
1.352811375E0,-1.948527527E1,-1.215563393E1,-4.159063721E1
1.453298375E0,-1.950765419E1,-1.220217705E1,-4.163875580E1
1.553786375E0,-1.949797821E1,-1.216250420E1,-4.154792023E1
1.654273375E0,-1.950876617E1,-1.225521088E1,-4.168177032E1
1.754760375E0,-1.943671989E1,-1.227370453E1,-4.131666565E1
1.855248375E0,-1.933581161E1,-1.227149582E1,-4.139784622E1
1.955735375E0,-1.946342659E1,-1.219827461E1,-4.168253708E1
2.056222375E0,-1.950020218E1,-1.224191856E1,-4.189824295E1
2.156709250E0,-1.951492882E1,-1.226654053E1,-4.165426254E1
2.257196250E0,-1.947175980E1,-1.235154533E1,-4.180303955E1
2.357684250E0,-1.934502220E1,-1.241856766E1,-4.180687332E1
2.458171250E0,-1.950129318E1,-1.222739029E1,-4.162931442E1
2.558658250E0,-1.946027374E1,-1.214290619E1,-4.167147827E1
2.659145250E0,-1.938078308E1,-1.215020943E1,-4.171500778E1
2.759632250E0,-1.938042831E1,-1.234559822E1,-4.171430969E1
2.860119250E0,-1.947505951E1,-1.227058792E1,-4.163818741E1
2.960606250E0,-1.939022255E1,-1.222469139E1,-4.174104691E1
3.061093250E0,-1.935176849E1,-1.219625664E1,-4.162289810E1
3.161584750E0,-1.930929375E1,-1.228324890E1,-4.170774460E1
3.262071750E0,-1.934720993E1,-1.235003853E1,-4.168914795E1
3.362558750E0,-1.934109116E1,-1.247807121E1,-4.160212326E1
3.463045750E0,-1.928060150E1,-1.235219193E1,-4.158294678E1
3.563532750E0,-1.943465424E1,-1.227692795E1,-4.170861053E1
3.664019750E0,-1.937592316E1,-1.221604538E1,-4.147483444E1
3.764506750E0,-1.936642265E1,-1.234502411E1,-4.168517685E1
3.864993750E0,-1.931268883E1,-1.226155090E1,-4.156283569E1
3.965480750E0,-1.930765152E1,-1.231764603E1,-4.166403198E1
4.065967750E0,-1.929654312E1,-1.243543434E1,-4.152129745E1
4.166454750E0,-1.937991905E1,-1.228039551E1,-4.166068649E1
4.266941750E0,-1.936594009E1,-1.228575325E1,-4.190611649E1
4.367428750E0,-1.935240555E1,-1.219152832E1,-4.174044800E1
4.467915750E0,-1.937340355E1,-1.235351372E1,-4.161221695E1
4.568401750E0,-1.926273155E1,-1.241834450E1,-4.166247559E1
4.668888750E0,-1.946117210E1,-1.222021484E1,-4.169874954E1
4.769375750E0,-1.946422768E1,-1.221450615E1,-4.166810989E1
4.869862750E0,-1.944293404E1,-1.206949043E1,-4.173396301E1
4.970349750E0,-1.933390427E1,-1.207396507E1,-4.178968048E1
5.070836750E0,-1.947628021E1,-1.204688644E1,-4.151427078E1
5.171320125E0,-1.938907242E1,-1.213609505E1,-4.182603073E1
5.271807125E0,-1.940415001E1,-1.215168762E1,-4.157700729E1
5.372293125E0,-1.937104797E1,-1.216674995E1,-4.147714233E1
5.472780125E0,-1.933931351E1,-1.205387878E1,-4.140572357E1
5.573267125E0,-1.929722595E1,-1.221472549E1,-4.115183258E1
5.673754125E0,-1.947652054E1,-1.206596375E1,-4.160028458E1
5.774241125E0,-1.934951401E1,-1.220080757E1,-4.151651001E1
5.874727125E0,-1.933084106E1,-1.202456856E1,-4.161374664E1
5.975214125E0,-1.929146957E1,-1.209240532E1,-4.148347855E1
6.075701125E0,-1.936636734E1,-1.203113937E1,-4.138312531E1
6.176189042E0,-1.934549332E1,-1.221855354E1,-4.157971191E1
6.276675042E0,-1.941919136E1,-1.210554886E1,-4.179288864E1
6.377162042E0,-1.934711456E1,-1.209235573E1,-4.179087448E1
6.477649042E0,-1.917584229E1,-1.220257568E1,-4.166960907E1
6.578135042E0,-1.930028152E1,-1.220061874E1,-4.177402115E1
6.678622042E0,-1.939106369E1,-1.222277260E1,-4.180823517E1
6.779109042E0,-1.946809006E1,-1.217150116E1,-4.186428452E1
6.879595042E0,-1.935864830E1,-1.210396194E1,-4.172455597E1
6.980082042E0,-1.934675217E1,-1.197339630E1,-4.174105835E1
7.080569042E0,-1.931454849E1,-1.208041954E1,-4.166678238E1
7.181054042E0,-1.940078354E1,-1.216307449E1,-4.162498093E1
7.281541042E0,-1.939777756E1,-1.203439713E1,-4.153237152E1
7.382027042E0,-1.934928703E1,-1.197446823E1,-4.148545074E1
7.482514042E0,-1.941219711E1,-1.196835899E1,-4.158171463E1
7.583001042E0,-1.941987991E1,-1.196076393E1,-4.166582489E1
7.683487042E0,-1.956825256E1,-1.193952942E1,-4.165662003E1
7.783974042E0,-1.933367538E1,-1.215874672E1,-4.169417572E1
7.884460042E0,-1.926673126E1,-1.220240593E1,-4.154423904E1
7.984947042E0,-1.920472336E1,-1.203982353E1,-4.143840027E1
8.085433042E0,-1.920182800E1,-1.222103882E1,-4.159345627E1
8.185920500E0,-1.922867203E1,-1.224219322E1,-4.140740967E1
8.286406500E0,-1.932900238E1,-1.220388603E1,-4.161121368E1
8.386893500E0,-1.936442184E1,-1.216630936E1,-4.150776291E1
8.487379500E0,-1.929946518E1,-1.216663551E1,-4.144497681E1
8.587866500E0,-1.936293793E1,-1.206450844E1,-4.152298355E1
8.688352500E0,-1.927091599E1,-1.231785583E1,-4.129243088E1
8.788838500E0,-1.923386765E1,-1.229814529E1,-4.141242981E1
8.889325500E0,-1.930381393E1,-1.209640503E1,-4.136640549E1
8.989811500E0,-1.928233337E1,-1.216638565E1,-4.136804962E1
9.090298500E0,-1.926725769E1,-1.211513710E1,-4.141418457E1
9.190784167E0,-1.936557388E1,-1.193836784E1,-4.174345016E1
9.291271167E0,-1.936849594E1,-1.204216957E1,-4.176225281E1
9.391757167E0,-1.938634682E1,-1.203265572E1,-4.180097580E1
9.492243167E0,-1.948719215E1,-1.198113251E1,-4.173270416E1
9.592730167E0,-1.936549759E1,-1.224697876E1,-4.181846237E1
9.693216167E0,-1.942464828E1,-1.204432487E1,-4.197548294E1
9.793703167E0,-1.953904343E1,-1.207546997E1,-4.177101898E1
9.894189167E0,-1.948703003E1,-1.214638901E1,-4.164525223E1
9.994675167E0,-1.930540085E1,-1.233679581E1,-4.154360580E1
1.009516217E1,-1.947403526E1,-1.214651680E1,-4.162674332E1
1.019564888E1,-1.946762466E1,-1.216234016E1,-4.178263855E1
1.029613588E1,-1.942340660E1,-1.219908714E1,-4.165138626E1
1.039662187E1,-1.942950249E1,-1.231803703E1,-4.148905945E1
1.049710788E1,-1.952639580E1,-1.215962219E1,-4.179403687E1
1.059759487E1,-1.951439285E1,-1.230742836E1,-4.153786850E1
1.069808088E1,-1.955023384E1,-1.214355087E1,-4.188669968E1
1.079856787E1,-1.953311539E1,-1.224108315E1,-4.171232986E1
