"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.541599999E-2,-2.891130745E-3,3.815088421E-3,-1.350134145E-3
1.859060000E-1,8.564721793E-3,-2.004451118E-3,-5.070037208E-3
2.863896667E-1,7.388331927E-3,-2.915744670E-3,-4.155701026E-3
3.868796667E-1,-2.981629223E-3,6.941945292E-3,2.815271728E-4
4.873686667E-1,-3.599243239E-3,8.469279855E-4,-4.547024146E-3
5.878586667E-1,-4.190045409E-3,4.310636781E-3,-3.246737644E-3
6.883476666E-1,3.388831392E-3,-2.598281950E-3,-1.974592218E-3
7.888366667E-1,-7.793238852E-3,1.090467535E-2,-3.967202269E-3
8.893266667E-1,2.262846567E-3,4.167212173E-3,-5.333104637E-3
9.898156667E-1,-1.147040911E-2,8.868236095E-3,-6.556447130E-3
1.090305667E0,-4.461421631E-3,2.110599540E-3,4.249528050E-3
1.190794667E0,4.052920267E-4,3.077592701E-4,5.226861686E-3
1.291283792E0,-2.098682337E-3,5.783258006E-3,6.609451957E-4
1.391773792E0,9.439913556E-4,5.054686219E-3,2.864479553E-3
1.492262792E0,-3.517223522E-3,3.609932959E-3,3.033701796E-3
1.592752792E0,2.663399093E-3,-5.315170623E-3,2.205539960E-3
1.693241792E0,7.275079377E-3,-5.933600478E-4,3.586215433E-3
1.793730792E0,-4.526837729E-3,-1.949131489E-3,6.833141670E-4
1.894220792E0,9.993901476E-4,1.448270865E-3,2.515810076E-3
1.994709792E0,2.189228311E-3,5.440191831E-3,-5.967847537E-4
2.095198792E0,-2.449823543E-3,3.238651436E-3,9.218780324E-4
2.195688792E0,4.024435766E-3,7.170944475E-3,-8.308702148E-3
2.296182000E0,-1.275238022E-2,1.189315133E-2,-2.705788007E-3
2.396671000E0,-3.680400550E-3,2.331538592E-3,-5.463656504E-3
2.497160000E0,-8.863992989E-4,-1.773658209E-3,1.665258314E-3
2.597650000E0,3.088527359E-3,-9.206762537E-3,1.135767438E-3
2.698139000E0,-2.439554781E-3,5.582054146E-4,6.366270594E-3
2.798628000E0,5.541987717E-3,-2.110533416E-3,-3.015045077E-4
2.899118000E0,-6.666556001E-4,1.998133957E-4,1.332133310E-3
2.999607000E0,-1.300807111E-3,-1.242302824E-3,1.390474616E-3
3.100096000E0,-1.303650625E-2,1.814898662E-2,9.390509222E-4
3.200581417E0,-3.075134009E-3,1.790957060E-3,2.222831827E-3
3.301070417E0,4.478435032E-3,5.506323650E-4,5.817044061E-3
3.401560417E0,8.712195791E-3,-6.622245070E-3,1.502603991E-3
3.502049417E0,5.402616225E-3,-7.453377824E-3,4.847874399E-3
3.602538417E0,4.388544708E-3,-3.175470745E-3,1.073682215E-3
3.703027417E0,-1.293310523E-2,1.482132636E-2,6.395528559E-3
3.803516417E0,1.798175275E-3,-4.951739684E-3,4.855927080E-3
3.904006417E0,-3.805930726E-3,7.737373933E-3,1.941446913E-3
4.004495417E0,-5.153625738E-3,2.906736918E-4,2.416787669E-3
4.104984417E0,-3.837157972E-3,8.150315844E-3,3.608240979E-3
4.205472625E0,4.242876545E-3,1.755428035E-3,2.505188342E-3
4.305961625E0,-2.495327033E-3,-1.965305768E-3,1.409596764E-3
4.406450625E0,-2.840137109E-3,3.064517863E-3,3.323622746E-3
4.506939625E0,-1.089571044E-3,-5.452416837E-3,-5.646371283E-4
4.607429625E0,1.764893532E-4,-5.206130911E-3,2.427757718E-4
4.707918625E0,6.065964699E-4,6.246050354E-3,3.451942466E-3
4.808407625E0,-3.619802184E-3,9.531334974E-3,-4.738196731E-3
4.908896625E0,1.553481445E-3,-2.083066385E-3,5.410282873E-3
5.009385625E0,1.377576962E-3,3.276730888E-3,4.957132041E-3
5.109874625E0,-5.407407880E-3,4.934533499E-4,8.906458970E-4
5.210363792E0,2.069957554E-3,-4.976517987E-3,6.887315307E-3
5.310852792E0,-7.148870733E-3,-1.726062223E-2,1.491344534E-2
5.411341792E0,-6.509560160E-3,2.070762683E-3,4.404272884E-3
5.511830792E0,1.621344127E-3,-3.705205396E-3,9.152947459E-4
5.612319792E0,2.285845578E-3,-3.172991797E-3,-5.533431657E-3
5.712808792E0,-3.085432574E-3,7.278039120E-4,1.368313096E-3
5.813297792E0,5.178730935E-3,-1.324886922E-2,-6.663987413E-3
5.913786792E0,1.829883456E-1,-3.683310151E-1,1.185384393E-2
6.014275792E0,4.206433594E-1,-2.912268937E-1,4.910356551E-2
6.114764792E0,4.586600363E-1,-2.126453668E-1,4.122345150E-2
6.215253750E0,4.494297206E-1,-7.678239793E-2,4.316362366E-2
6.315742750E0,5.675831437E-1,-3.397397697E-2,-1.472110394E-3
6.416231750E0,6.020110846E-1,-2.290003560E-2,-6.159774959E-2
6.516720750E0,7.483970523E-1,-1.551250219E-1,-9.922988713E-2
6.617209750E0,7.374227643E-1,-1.529479921E-1,-7.473655790E-2
6.717698750E0,8.765887618E-1,-4.050517678E-1,4.701190814E-2
6.818187750E0,4.920307398E-1,-1.001738533E-1,-4.775110632E-3
6.918676750E0,2.243036032E-1,7.623616606E-2,-3.179737926E-2
7.019165750E0,7.679810375E-2,1.191412285E-2,4.458014295E-2
7.119654750E0,-3.138115108E-1,1.687135249E-1,1.614524797E-2
7.220144042E0,-1.303107738E0,5.864874721E-1,-6.591159105E-2
7.320633042E0,-1.469516635E0,3.612805605E-1,-5.646689795E-3
7.421122042E0,-9.115272164E-1,2.139149755E-1,-3.125295416E-2
7.521611042E0,-5.324967504E-1,8.970232308E-2,-2.188063599E-2
7.622100042E0,-7.105880380E-1,-1.333960295E-1,-8.436602540E-3
7.722589042E0,-7.402628660E-1,4.344788566E-2,-5.034130812E-2
7.823078042E0,-6.333381534E-1,1.358054727E-1,3.927228507E-3
7.923567042E0,-6.929171085E-1,7.819601893E-2,-1.517758053E-2
8.024056042E0,-5.239200592E-1,-6.229267120E-1,-1.616322249E-1
8.124544042E0,-4.859998226E-1,-3.700341582E-1,-6.939564645E-2
8.225033500E0,-3.472773135E-1,-2.921980023E-1,-8.694765717E-2
8.325522500E0,-3.664164543E-1,-8.295835555E-2,-2.286539786E-2
8.426011500E0,-1.618840694E-1,9.979851544E-3,6.997659057E-2
8.526500500E0,2.684067488E-1,2.877066284E-2,1.040747911E-1
8.626989500E0,8.380064964E-1,-3.320249170E-2,2.181553841E-1
8.727478500E0,1.019729972E0,1.651162952E-1,3.528867364E-1
8.827967500E0,4.308570623E-1,1.583790332E-1,3.701826334E-1
8.928455500E0,6.526482105E-2,3.012006581E-1,4.775404930E-1
9.028944500E0,1.464217454E-1,1.196917221E-1,5.633581877E-1
9.129433500E0,1.561982036E-1,3.004183471E-1,1.088496804E0
9.229921250E0,3.604579866E-1,2.599423230E-1,1.320664048E0
9.330410250E0,-2.403460592E-1,-3.752283752E-2,9.240679145E-1
9.430899250E0,2.258464694E-1,-3.851362467E-1,8.659715056E-1
9.531387250E0,-3.239856660E-1,2.490470111E-1,5.972951055E-1
9.631876250E0,-2.321957201E-1,2.430060357E-1,3.677556813E-1
9.732365250E0,-3.001741767E-1,3.278971612E-1,2.826069593E-1
9.832854250E0,5.351478606E-2,-1.311957538E-1,-1.091373041E-1
9.933343250E0,1.822240204E-1,-5.911411345E-2,-6.315219998E-1
1.003383225E1,2.725441456E-1,-2.812284529E-1,-8.908781409E-1
1.013432025E1,5.210819244E-1,-4.585629404E-1,-7.859628201E-1
1.023481000E1,5.270215124E-2,-6.569284201E-2,-8.508288264E-1
1.033529900E1,-9.548540413E-2,-8.483754843E-2,-8.848378658E-1
1.043578800E1,7.957008481E-2,-1.629148126E-1,-8.330431581E-1
1.053627700E1,-2.087493837E-1,2.180420980E-2,-8.124510050E-1
1.063676500E1,2.586551607E-1,-3.765261769E-1,-8.805220127E-1
1.073725400E1,1.028237268E-1,-2.538615838E-3,-8.423789144E-1
1.083774300E1,1.646108329E-1,5.421554670E-5,-7.337276340E-1
1.093823200E1,-3.326814622E-2,-3.053734824E-2,-9.224603772E-1
1.103872000E1,1.263753921E-1,2.667546272E-1,-9.060518742E-1
1.113920900E1,5.289085507E-1,2.849062905E-2,-9.760196805E-1
1.123969767E1,4.400578439E-1,6.398846209E-2,-6.725841761E-2
1.134018667E1,6.228638887E-1,-1.068008244E-1,3.450685441E-1
1.144067567E1,8.846966028E-1,-2.516772598E-2,4.391599894E-1
1.154116367E1,6.952806711E-1,-1.066210866E-1,5.436967015E-1
1.164165267E1,8.048146367E-1,-1.479988694E-1,7.782246470E-1
1.174214167E1,8.894952536E-1,-7.708974183E-2,7.441111803E-1
1.184263067E1,6.208084822E-1,3.470099568E-1,6.123421192E-1
1.194311867E1,1.416282505E-1,5.120252967E-1,6.563916802E-1
1.204360767E1,6.782135367E-2,6.507384181E-1,8.249439597E-1
1.214409667E1,-2.950491905E-1,7.943506241E-1,5.195222497E-1
1.224458550E1,-2.709398866E-1,6.220043302E-1,6.023454070E-1
1.234507350E1,-2.252855748E-1,4.073042274E-1,7.382279634E-1
1.244556250E1,-5.274811983E-1,8.719460964E-1,8.016228676E-1
1.254605150E1,-5.730839372E-1,3.851959109E-1,5.295554399E-1
1.264653950E1,-3.743909001E-1,-5.160697550E-2,4.842955768E-1
1.274702850E1,-7.671071887E-1,8.488637805E-1,4.131921828E-1
1.284751750E1,-5.874533653E-1,-1.924049407E-1,3.716348410E-1
1.294800650E1,-8.691020012E-1,-7.295432687E-2,1.604952216E-1
1.304849450E1,-5.973277688E-1,-7.171243429E-1,-5.410602316E-2
1.314898350E1,-5.456030369E-1,-2.859482169E-1,-3.352178037E-1
1.324947700E1,-3.666613996E-1,1.191202924E-1,-5.440237522E-1
1.334996500E1,-2.083214074E-1,-2.844967544E-1,-1.247504950E0
1.345045400E1,-6.760599557E-3,6.190130115E-2,-8.269734979E-1
1.355094300E1,8.145491034E-2,-1.177302375E-1,-1.132647038E0
1.365143200E1,-5.935165882E-1,4.321379364E-1,-1.078065634E0
1.375192000E1,-1.055242568E-1,-2.164072543E-1,-1.119187951E0
1.385240900E1,4.906059802E-1,2.116087377E-1,-9.805429578E-1
1.395289800E1,5.902995467E-1,8.340402842E-1,-1.141444087E0
1.405338600E1,1.211480260E0,-5.325384736E-1,-1.338659048E0
1.415387500E1,2.933639288E-1,3.972291350E-1,-8.748012036E-2
1.425436004E1,7.226015329E-1,1.104456559E-1,2.080196589E-1
1.435484904E1,4.929931760E-1,8.939247131E-1,9.204707146E-1
1.445533704E1,6.622495055E-1,5.870136619E-1,8.865044713E-1
1.455582604E1,4.865899384E-1,1.941991895E-1,5.265213251E-1
