"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,2.788700867E-1,1.245410156E0,9.422455902E0
1.004980000E-1,4.330494690E-1,1.406175842E0,9.667196960E0
2.009960000E-1,2.433938599E-1,1.525477753E0,9.286388855E0
3.014942917E-1,1.037342834E-1,1.456770630E0,9.853709106E0
4.019922917E-1,-0.000000000E0,1.976938934E0,9.667945404E0
5.024902917E-1,2.484832764E-1,1.556912384E0,1.006192612E1
6.029882916E-1,2.406994629E-1,1.835932159E0,1.022463776E1
7.034862917E-1,1.200503540E-1,2.210902405E0,1.003183868E1
8.039852917E-1,3.951782227E-2,2.851570129E-1,1.064436493E1
9.044832917E-1,-7.890092468E-1,2.896476746E-1,8.632847900E0
1.004981292E0,-2.094145203E-1,-6.935078430E-1,9.670639801E0
1.105479292E0,-4.727169800E-1,-5.837860107E-3,8.995244293E0
1.205977292E0,4.031117249E-1,1.662592621E0,8.989406433E0
1.306475875E0,6.122268677E-2,1.059197388E0,1.013542328E1
1.406973875E0,5.328918457E-1,7.810757446E-1,1.154010223E1
1.507471875E0,-1.155596924E-1,-1.544637909E0,1.127949417E1
1.607969875E0,8.915460205E-1,-3.403921509E-1,7.879763947E0
1.708467875E0,-1.963916016E-1,2.817141724E-1,8.629405060E0
1.808964875E0,1.974394226E-1,2.459385681E-1,7.727829895E0
1.909462875E0,4.209246826E-1,1.270857239E0,9.306896210E0
2.009960875E0,7.899073792E-1,-1.431024170E-1,1.238928635E1
2.110458875E0,-7.972421265E-1,-5.948629761E-1,1.228734833E1
2.210956875E0,-3.749702454E-1,-1.787283325E-1,8.680149536E0
2.311453917E0,-2.266287231E-1,-1.697470093E-1,8.444240112E0
2.411951917E0,2.664459229E-2,6.818321228E-1,8.162675629E0
2.512449917E0,1.272354126E-2,1.292861481E0,1.059347076E1
2.612946917E0,-3.489244080E-1,1.835183716E-1,1.136391861E1
2.713444917E0,6.393205261E-1,4.953199768E-1,1.155192764E1
2.813942917E0,-7.694000244E-2,4.944218445E-1,9.447154541E0
2.914440917E0,3.709286499E-1,4.505630493E-2,8.461304626E0
3.014938917E0,4.529580688E-1,6.180647278E-1,8.468938751E0
3.115436917E0,2.796185303E-1,1.343905334E0,9.040150909E0
3.215935917E0,2.424957275E-2,1.740730133E0,1.022448807E1
3.316433250E0,-9.190887451E-2,9.418414307E-1,1.168155807E1
3.416931250E0,4.477189636E-1,-7.728428650E-1,7.982600098E0
3.517430250E0,-6.171665955E-1,-1.242566071E0,1.070409073E1
3.617928250E0,7.963439941E-2,4.495152283E-1,7.503446503E0
3.718427250E0,1.862127686E-1,5.667214966E-1,8.563991089E0
3.818926250E0,2.929408264E-1,1.863774261E0,9.257049866E0
3.919424250E0,8.637039185E-2,-8.675958252E-1,1.168036057E1
4.019923250E0,8.367599487E-1,-1.089883575E0,1.307276505E1
4.120422250E0,3.240760803E-1,1.103205872E-1,9.609417114E0
4.220921250E0,-4.956193542E-1,6.385720825E-1,8.232729950E0
4.321420625E0,1.790277100E-1,8.994795227E-1,8.435408478E0
4.421919625E0,2.293231201E-1,1.300046539E0,9.493707733E0
4.522418625E0,2.514770508E-2,1.000818787E0,1.112546448E1
4.622917625E0,4.525090027E-1,-1.011895752E0,1.232911148E1
4.723416625E0,1.466949463E-1,6.319857788E-1,8.808732147E0
4.823916625E0,2.906954956E-1,5.957611084E-1,8.499774628E0
4.924415625E0,3.029699707E-1,9.972262573E-1,8.069718933E0
5.024914625E0,-4.161346436E-2,1.976190491E0,9.753866730E0
5.125413625E0,7.740403748E-1,7.030879211E-1,1.117620895E1
5.225913625E0,1.076710968E0,5.478607178E-1,1.066831512E1
5.326415625E0,9.870474243E-1,-1.106199646E-1,9.655521240E0
5.426914625E0,9.186396790E-1,1.269360352E-1,1.002001328E1
5.527414625E0,4.504133606E-1,6.466552734E-1,7.482639771E0
5.627913625E0,-1.302291870E-2,8.270301819E-1,9.521400146E0
5.728413625E0,-2.847079468E-1,1.349743195E0,1.060035645E1
5.828912625E0,-5.602848816E-1,5.417234802E-1,1.219798416E1
5.929412625E0,5.900729370E-1,5.192701721E-1,8.499026184E0
6.029911625E0,2.758763123E-1,-6.210585022E-1,1.056532928E1
6.130411625E0,1.770817566E-1,1.046174469E0,7.973618774E0
6.230908542E0,3.884422302E-1,1.661844177E0,8.928483124E0
6.331407542E0,8.120613098E-1,1.251397705E0,9.751022644E0
6.431907542E0,1.648072815E-1,1.380579071E0,1.152663025E1
6.532406542E0,-1.288819885E-1,5.628295898E-1,9.552236023E0
6.632906542E0,9.113049316E-1,-8.140072632E-1,9.941426697E0
6.733406542E0,2.266287231E-1,3.088078308E-1,8.620423737E0
6.833905542E0,2.897973633E-1,6.592291260E-1,8.559949493E0
6.934405542E0,2.508782959E-1,1.638642426E0,9.174571381E0
7.034905542E0,5.046006775E-1,8.140072632E-1,1.135568573E1
7.135405542E0,1.152603149E-2,-8.967851257E-1,1.187241119E1
7.235903750E0,-7.694000244E-2,-9.630972290E-1,1.128158981E1
7.336403750E0,2.023791504E-1,1.802252197E-1,7.734715576E0
7.436903750E0,-1.884580994E-1,5.716612244E-1,8.511450348E0
7.537403750E0,-1.481918335E-1,1.593286743E0,9.291478271E0
7.637903750E0,-1.408570862E-1,8.539741516E-1,1.104927292E1
7.738402750E0,1.814227295E-1,-1.875749359E0,1.307216629E1
7.838902750E0,3.496728516E-1,4.797523499E-1,7.824229431E0
7.939402750E0,8.794212341E-1,6.926097107E-1,9.019942932E0
8.039902750E0,9.515711975E-1,1.057700500E0,8.364006958E0
8.140402750E0,8.303233337E-1,1.733395386E0,8.059540100E0
8.240907167E0,1.168170776E0,1.185983734E0,1.095302307E1
8.341407167E0,4.064048767E-1,1.339564362E0,1.112890732E1
8.441907167E0,-1.727407837E-1,-1.364412689E0,1.096978821E1
8.542406167E0,-5.658233643E-1,-9.479786682E-1,8.588989105E0
8.642906167E0,7.604187012E-2,5.345384216E-1,7.420818329E0
8.743406167E0,-1.555265808E-1,5.342390442E-1,9.408983917E0
8.843906167E0,1.287322998E-2,1.183139648E0,9.148226166E0
8.944406167E0,-8.628057861E-1,4.070036316E-1,1.072908875E1
9.044906167E0,2.716850281E-1,-2.936892700E-1,1.023346939E1
9.145406167E0,1.564247131E-1,-1.115330658E0,1.110765152E1
9.245906417E0,9.789642334E-2,4.882846069E-1,8.442144470E0
9.346405417E0,1.282832336E-1,6.587800598E-1,8.710236969E0
9.446905417E0,1.742376709E-1,1.970053253E0,8.722212067E0
9.547405417E0,-3.129991150E-1,4.492158508E-1,1.141705811E1
9.647905417E0,3.975732422E-1,-1.238674164E0,1.211266159E1
9.748405417E0,-3.204835510E-1,-1.050814819E-1,1.000564316E1
9.848904417E0,1.859133911E-1,-7.429051208E-1,9.655670929E0
9.949404417E0,-8.622070312E-2,1.884580994E-1,8.702453156E0
1.004990342E1,-1.832189941E-1,6.387217712E-1,8.957672424E0
1.015040242E1,3.550616455E-1,-2.921923828E-1,1.135987701E1
1.025089863E1,6.253994751E-1,-2.202669525E0,1.348889969E1
1.035139762E1,2.806663513E-1,-1.071771240E-1,1.020951920E1
1.045189662E1,-4.326004028E-1,6.259982300E-1,7.549850006E0
1.055239562E1,1.841171265E-1,4.781057739E-1,8.397237854E0
1.065289462E1,1.624122620E-1,9.060658264E-1,9.469607849E0
1.075339363E1,1.935475159E-1,7.403604126E-1,1.054841446E1
1.085389263E1,-1.736389160E-1,-8.845106506E-1,1.266561172E1
1.095439163E1,5.860313416E-1,3.638932800E-1,9.885742493E0
1.105489063E1,3.156935120E-1,2.522254944E-1,8.584648132E0
1.115538962E1,5.159770203E-1,8.102650452E-1,7.434889069E0
1.125588837E1,1.228944397E-1,1.021026764E0,9.145531769E0
1.135638837E1,1.972897339E-1,5.191204834E-1,1.119192627E1
1.145688737E1,3.811074829E-1,9.467811584E-1,1.135388947E1
1.155738637E1,1.644629974E0,-3.403921509E-1,9.982890472E0
1.165788538E1,8.345146179E-1,-5.340893555E-1,9.042396240E0
1.175838538E1,9.131011963E-1,4.185296631E-1,7.658374329E0
1.185888438E1,9.262738037E-1,1.004561005E0,9.444460144E0
1.195938338E1,2.706372070E-1,1.272354126E0,1.060828995E1
1.205988338E1,-6.872209167E-1,9.196875000E-1,1.159758270E1
1.216038238E1,9.842033386E-1,-3.817062378E-1,1.101334763E1
1.226088192E1,-5.935157776E-1,-9.961784363E-1,1.013677048E1
1.236138092E1,3.143463135E-3,1.695973206E-1,8.052654419E0
1.246188092E1,1.796264648E-3,1.351389771E0,7.991731110E0
1.256237992E1,2.086660767E-1,1.251996460E0,1.004920258E1
1.266287992E1,-5.225633240E-1,4.986131287E-1,1.157138718E1
1.276337992E1,7.259902954E-2,-4.111949158E-1,1.210652435E1
1.286387892E1,1.694476318E-1,-1.230441284E-1,8.823251953E0
