"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,3.641136169E0,2.636494064E1,4.296066666E1,5.053698494E1
1.004900000E-2,3.646423340E0,2.632150650E1,4.304448318E1,5.058602218E1
2.009800001E-2,3.642719269E0,2.631218719E1,4.302197266E1,5.056175165E1
3.014700001E-2,3.601165771E0,2.637006569E1,4.294090271E1,5.051999490E1
4.019600002E-2,3.591903687E0,2.640038109E1,4.294789124E1,5.054110461E1
5.024400001E-2,3.604156494E0,2.634639359E1,4.306634521E1,5.061454820E1
6.029300002E-2,3.656078339E0,2.628509521E1,4.321393204E1,5.071209975E1
7.034199999E-2,3.721538544E0,2.625597954E1,4.339820480E1,5.085892735E1
8.039100000E-2,3.736021042E0,2.626466751E1,4.347742844E1,5.093208612E1
9.044000000E-2,3.658514023E0,2.629016113E1,4.320349884E1,5.070601157E1
1.004890000E-1,3.641443253E0,2.627891541E1,4.329052734E1,5.077313523E1
1.105380000E-1,3.700180054E0,2.619501114E1,4.375373077E1,5.112982395E1
1.205860000E-1,3.713405609E0,2.610658646E1,4.393238831E1,5.123863757E1
1.306350000E-1,3.704156876E0,2.605937004E1,4.382556915E1,5.112232444E1
1.406840000E-1,3.643342972E0,2.610774803E1,4.366522980E1,5.100530118E1
1.507330000E-1,3.581312180E0,2.619845200E1,4.346279907E1,5.087435097E1
1.607820000E-1,3.567750931E0,2.624710464E1,4.343955231E1,5.087862079E1
1.708310000E-1,3.623098373E0,2.626181412E1,4.346762466E1,5.091408564E1
1.808800000E-1,3.605775833E0,2.634528351E1,4.355548859E1,5.103093345E1
1.909280000E-1,3.565336227E0,2.638658142E1,4.345183563E1,5.096101766E1
2.009770000E-1,3.586181641E0,2.637887192E1,4.346224976E1,5.096736933E1
2.110260000E-1,3.592901230E0,2.624343681E1,4.366011429E1,5.106694131E1
2.210801667E-1,3.524852753E0,2.626942635E1,4.355045319E1,5.098185285E1
2.311291667E-1,3.541803360E0,2.626077652E1,4.351731873E1,5.095026775E1
2.411781667E-1,3.642208099E0,2.620867920E1,4.366432953E1,5.105618688E1
2.512271667E-1,3.631191254E0,2.621969032E1,4.363687134E1,5.103757685E1
2.612751667E-1,3.663391113E0,2.617487144E1,4.359025192E1,5.097699866E1
2.713241667E-1,3.682565689E0,2.607050705E1,4.374359512E1,5.105619201E1
