"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.586700439E-2,2.201472015E0,9.535919952E0
1.004860000E-1,-1.616638184E-2,2.213746490E0,9.510173492E0
2.009720000E-1,-8.532257080E-3,2.212399292E0,9.564360809E0
3.014580000E-1,-1.796264648E-2,2.196532288E0,9.560917969E0
4.019442500E-1,-1.466949463E-2,2.215093689E0,9.561965790E0
5.024302500E-1,-1.362167358E-2,2.198777618E0,9.553583221E0
6.029162500E-1,-1.362167358E-2,2.203118591E0,9.546697540E0
7.034022500E-1,-8.681945801E-3,2.195933533E0,9.558822327E0
8.038882500E-1,-1.676513672E-2,2.206860809E0,9.554780731E0
9.043742500E-1,-1.362167358E-2,2.204615479E0,9.559570770E0
1.004860250E0,-2.260299683E-2,2.206411743E0,9.555229797E0
1.105346250E0,-6.735992432E-3,2.201771393E0,9.546547852E0
1.205832250E0,-1.930984497E-2,2.202370148E0,9.552236023E0
1.306318250E0,-2.170486450E-2,2.207908630E0,9.550140381E0
1.406804542E0,-1.721420288E-2,2.212848358E0,9.555678864E0
1.507290542E0,-1.152603149E-2,2.196981354E0,9.548793182E0
1.607776542E0,-1.856140137E-2,2.212249603E0,9.555978241E0
1.708262542E0,-8.083190918E-3,2.201172638E0,9.554780731E0
1.808748542E0,-2.290237427E-2,2.201621704E0,9.555529175E0
1.909234542E0,-1.317260742E-2,2.205962677E0,9.559570770E0
2.009720542E0,-2.395019531E-2,2.212998047E0,9.565857697E0
2.110206542E0,-1.092727661E-2,2.196981354E0,9.555828552E0
2.210692542E0,-9.879455566E-3,2.199526062E0,9.531728668E0
2.311178542E0,-9.131011963E-3,2.193688202E0,9.546398163E0
2.411667875E0,-1.437011719E-2,2.205064545E0,9.565408630E0
2.512153875E0,-9.729766846E-3,2.203567657E0,9.561367035E0
2.612639875E0,-1.526824951E-2,2.212698669E0,9.562414856E0
2.713125875E0,-8.083190918E-3,2.204316101E0,9.549242249E0
2.813611875E0,-1.272354126E-2,2.207309875E0,9.562115479E0
2.914096875E0,-1.496887207E-2,2.216440887E0,9.572444000E0
3.014582875E0,-1.916015625E-2,2.201322327E0,9.556876373E0
3.115068875E0,-1.856140137E-2,2.206112366E0,9.551487579E0
3.215554875E0,-1.676513672E-2,2.211201782E0,9.562115479E0
3.316040875E0,-1.496887207E-2,2.209555206E0,9.555828552E0
3.416526875E0,-1.766326904E-2,2.206112366E0,9.553283844E0
3.517012875E0,-1.466949463E-2,2.206411743E0,9.567803650E0
3.617497875E0,-1.796264648E-2,2.199376373E0,9.550140381E0
3.717983875E0,-1.856140137E-2,2.195484467E0,9.557175751E0
3.818469875E0,-1.332229614E-2,2.211800537E0,9.555828552E0
3.918955875E0,-1.676513672E-2,2.199526062E0,9.557325439E0
4.019441875E0,-1.706451416E-2,2.204914856E0,9.569450226E0
4.119926875E0,-1.526824951E-2,2.200424194E0,9.544152832E0
4.220412875E0,-1.017883301E-2,2.207758942E0,9.551487579E0
4.320898875E0,-1.377136230E-2,2.200124817E0,9.566905518E0
4.421381167E0,-2.035766602E-2,2.214644623E0,9.564061432E0
4.521867167E0,-1.437011719E-2,2.207010498E0,9.555828552E0
4.622352167E0,-1.781295776E-2,2.207758942E0,9.547595673E0
4.722838167E0,-6.735992432E-3,2.198927307E0,9.543105011E0
4.823324167E0,-1.437011719E-2,2.193987579E0,9.547745361E0
4.923809167E0,-2.844085693E-2,2.201921082E0,9.560169525E0
5.024295167E0,-2.020797729E-2,2.202968903E0,9.554780731E0
5.124781167E0,-2.439926147E-2,2.208657074E0,9.536518707E0
5.225267167E0,-2.604583740E-2,2.194885712E0,9.544901276E0
5.325752167E0,-1.017883301E-2,2.203268280E0,9.563612366E0
5.426237792E0,-1.916015625E-2,2.200723572E0,9.555529175E0
5.526722792E0,-8.681945801E-3,2.205064545E0,9.558522949E0
5.627208792E0,-1.242416382E-2,2.204465790E0,9.558073883E0
5.727694792E0,-1.541793823E-2,2.207758942E0,9.572593689E0
5.828179792E0,-1.317260742E-2,2.204914856E0,9.552535400E0
5.928665792E0,-1.945953369E-2,2.206411743E0,9.553732910E0
6.029151792E0,-1.945953369E-2,2.196981354E0,9.561816101E0
6.129636792E0,-1.392105103E-2,2.203867035E0,9.539213104E0
6.230122792E0,-9.729766846E-3,2.208208008E0,9.538314972E0
6.330607792E0,-1.796264648E-2,2.204615479E0,9.555678864E0
6.431094292E0,-2.395019531E-3,2.209106140E0,9.553583221E0
6.531579292E0,-2.035766602E-2,2.204465790E0,9.558972015E0
6.632065292E0,-1.496887207E-2,2.200124817E0,9.563013611E0
6.732551292E0,-1.212478638E-2,2.201472015E0,9.559870148E0
6.833036292E0,-1.197509766E-2,2.198029175E0,9.542356567E0
6.933522292E0,-1.706451416E-2,2.206711121E0,9.559570770E0
7.034007292E0,-1.586700439E-2,2.204615479E0,9.551637268E0
7.134493292E0,-2.170486450E-2,2.208806763E0,9.554481354E0
7.234978292E0,-8.981323242E-3,2.204914856E0,9.576635284E0
7.335464292E0,-1.811233521E-2,2.215393066E0,9.564510498E0
7.435949250E0,-2.275268555E-2,2.200424194E0,9.536668396E0
7.536435250E0,-1.975891113E-2,2.212698669E0,9.576036530E0
7.636920250E0,-1.287322998E-2,2.208058319E0,9.568402405E0
7.737406250E0,-1.916015625E-2,2.205812988E0,9.549242249E0
7.837891250E0,-2.140548706E-2,2.207758942E0,9.581425323E0
7.938376250E0,-1.766326904E-2,2.200573883E0,9.538614349E0
8.038862250E0,-7.634124756E-3,2.201771393E0,9.560768280E0
8.139347250E0,-1.781295776E-2,2.204465790E0,9.565857697E0
8.239833250E0,-1.287322998E-2,2.215692444E0,9.566007385E0
8.340318250E0,-7.185058594E-3,2.208208008E0,9.574389954E0
8.440803500E0,-2.335144043E-2,2.190245361E0,9.555229797E0
8.541288500E0,-2.350112915E-2,2.196532288E0,9.560768280E0
8.641773500E0,-1.975891113E-2,2.205064545E0,9.548044739E0
8.742259500E0,-2.275268555E-2,2.206711121E0,9.562863922E0
8.842744500E0,-7.933502197E-3,2.203867035E0,9.563612366E0
8.943230500E0,-1.841171265E-2,2.210902405E0,9.575138397E0
9.043715500E0,-2.005828857E-2,2.214045868E0,9.558223572E0
9.144200500E0,-1.451980591E-2,2.211650848E0,9.564959564E0
9.244686500E0,-4.340972900E-3,2.198627930E0,9.549242249E0
9.345171500E0,-2.110610962E-2,2.198927307E0,9.561666412E0
9.445657000E0,-1.916015625E-2,2.207459564E0,9.557026062E0
9.546143000E0,-1.736389160E-2,2.205363922E0,9.546398163E0
9.646628000E0,-1.257385254E-2,2.194736023E0,9.551936646E0
9.747113000E0,-1.631607056E-2,2.210303650E0,9.577084351E0
9.847599000E0,-2.649490356E-2,2.195035400E0,9.542655945E0
9.948084000E0,-2.140548706E-2,2.208806763E0,9.571845245E0
1.004856900E1,-2.140548706E-2,2.198777618E0,9.547445984E0
1.014905500E1,-9.879455566E-3,2.207609253E0,9.544601898E0
1.024954000E1,-1.975891113E-2,2.194137268E0,9.537865906E0
1.035002500E1,-7.933502197E-3,2.195334778E0,9.535321198E0
1.045050987E1,-1.332229614E-2,2.213447113E0,9.555529175E0
1.055099588E1,-1.766326904E-2,2.196681976E0,9.555529175E0
1.065148088E1,-1.272354126E-2,2.196532288E0,9.574689331E0
1.075196588E1,-1.242416382E-2,2.207609253E0,9.545350342E0
1.085245088E1,-1.077758789E-2,2.200723572E0,9.554631042E0
1.095293687E1,-1.092727661E-2,2.195185089E0,9.551786957E0
1.105342187E1,-8.083190918E-3,2.207609253E0,9.573791199E0
1.115390687E1,-2.454895020E-2,2.196083221E0,9.560019836E0
