"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.908399999E-2,-1.907939911E1,-1.265044975E1,-4.053123856E1
1.695700000E-1,-1.910840607E1,-1.248692703E1,-4.033921814E1
2.700560000E-1,-1.908835983E1,-1.264699173E1,-4.035230637E1
3.705420000E-1,-1.909970093E1,-1.249695778E1,-4.064308929E1
4.710282500E-1,-1.915681839E1,-1.252812386E1,-4.052679443E1
5.715142500E-1,-1.913104630E1,-1.241749573E1,-4.069222641E1
6.720002500E-1,-1.918340683E1,-1.247690010E1,-4.041030121E1
7.724862500E-1,-1.918564987E1,-1.245941925E1,-4.036481857E1
8.729722500E-1,-1.924327660E1,-1.247192955E1,-4.044730759E1
9.734582500E-1,-1.904608917E1,-1.262251282E1,-4.021710205E1
1.073944250E0,-1.910260201E1,-1.253019905E1,-4.028820801E1
1.174430250E0,-1.912968826E1,-1.265526199E1,-4.049288559E1
1.274916250E0,-1.906812286E1,-1.269127083E1,-4.055657578E1
1.375402542E0,-1.903436279E1,-1.254347801E1,-4.053303528E1
1.475888542E0,-1.911894989E1,-1.252087402E1,-4.061927032E1
1.576374542E0,-1.909955215E1,-1.252056503E1,-4.038939285E1
1.676860542E0,-1.911974525E1,-1.260483170E1,-4.044938660E1
1.777346542E0,-1.912553978E1,-1.239104843E1,-4.042391968E1
1.877832542E0,-1.916295624E1,-1.228450966E1,-4.063993073E1
1.978318542E0,-1.914675522E1,-1.246189690E1,-4.054843903E1
2.078804542E0,-1.906919098E1,-1.244296455E1,-4.066345978E1
2.179290542E0,-1.918047714E1,-1.230663490E1,-4.052223969E1
2.279776542E0,-1.913114166E1,-1.233555603E1,-4.053081512E1
2.380265875E0,-1.913415527E1,-1.234855270E1,-4.049454117E1
2.480751875E0,-1.915053558E1,-1.231441689E1,-4.047194672E1
2.581237875E0,-1.912571144E1,-1.234618378E1,-4.083592224E1
2.681723875E0,-1.910541534E1,-1.240675354E1,-4.060140228E1
2.782209875E0,-1.915877533E1,-1.232179260E1,-4.040584946E1
2.882695875E0,-1.908384323E1,-1.241718674E1,-4.043888092E1
2.983181875E0,-1.911806870E1,-1.247569084E1,-4.044161987E1
3.083666875E0,-1.911612320E1,-1.238117409E1,-4.074925232E1
3.184152875E0,-1.905375290E1,-1.254656410E1,-4.054047775E1
3.284638875E0,-1.911994171E1,-1.234468842E1,-4.068021011E1
3.385124875E0,-1.918038940E1,-1.230313492E1,-4.067390060E1
3.485610875E0,-1.915091324E1,-1.235220146E1,-4.066204834E1
3.586096875E0,-1.914226151E1,-1.231528854E1,-4.048019791E1
3.686582875E0,-1.908218765E1,-1.239682007E1,-4.053775787E1
3.787067875E0,-1.916714478E1,-1.237972641E1,-4.052161026E1
3.887553875E0,-1.910036469E1,-1.244857407E1,-4.045471573E1
3.988039875E0,-1.915237808E1,-1.243704987E1,-4.052586365E1
4.088525875E0,-1.905609894E1,-1.244848061E1,-4.061258316E1
4.189011875E0,-1.912115479E1,-1.226852798E1,-4.035670471E1
4.289496875E0,-1.902209473E1,-1.241028595E1,-4.064157867E1
4.389979167E0,-1.909915161E1,-1.231409836E1,-4.041590500E1
4.490465167E0,-1.909719276E1,-1.246506310E1,-4.049747086E1
4.590951167E0,-1.903899193E1,-1.231083870E1,-4.068942261E1
4.691436167E0,-1.901519585E1,-1.234038925E1,-4.062687683E1
4.791922167E0,-1.912000275E1,-1.227803230E1,-4.052214813E1
4.892408167E0,-1.896706772E1,-1.233569527E1,-4.039053345E1
4.992893167E0,-1.905481339E1,-1.241879082E1,-4.043105698E1
5.093379167E0,-1.908894920E1,-1.245801735E1,-4.047829056E1
5.193865167E0,-1.903315926E1,-1.230545044E1,-4.051990128E1
5.294350167E0,-1.903166008E1,-1.236676788E1,-4.068747330E1
5.394835792E0,-1.913073730E1,-1.230046082E1,-4.039435196E1
5.495321792E0,-1.910733986E1,-1.236481857E1,-4.032010269E1
5.595806792E0,-1.910075760E1,-1.238394737E1,-4.050876236E1
5.696292792E0,-1.906549454E1,-1.234296799E1,-4.022978592E1
5.796778792E0,-1.908858109E1,-1.231961823E1,-4.039646530E1
5.897263792E0,-1.914694595E1,-1.237305641E1,-4.066004944E1
5.997749792E0,-1.917476463E1,-1.231593323E1,-4.056391525E1
6.098235792E0,-1.919254875E1,-1.219795036E1,-4.074726486E1
6.198720792E0,-1.915426064E1,-1.226215744E1,-4.068267059E1
6.299206792E0,-1.909043121E1,-1.233333206E1,-4.057107544E1
6.399692292E0,-1.919245529E1,-1.229264641E1,-4.049238205E1
6.500178292E0,-1.908109283E1,-1.235238075E1,-4.032027435E1
6.600663292E0,-1.903972244E1,-1.249775124E1,-4.053069687E1
6.701149292E0,-1.901716805E1,-1.236528206E1,-4.053641510E1
6.801634292E0,-1.914657402E1,-1.223033714E1,-4.042243576E1
6.902120292E0,-1.903837204E1,-1.235363579E1,-4.037203598E1
7.002606292E0,-1.917440414E1,-1.231594276E1,-4.054623413E1
7.103091292E0,-1.919298553E1,-1.230530739E1,-4.031547546E1
7.203576292E0,-1.915847969E1,-1.246223450E1,-4.032624435E1
7.304062292E0,-1.914183426E1,-1.257702255E1,-4.041789627E1
7.404547250E0,-1.914475632E1,-1.238953209E1,-4.072604370E1
7.505033250E0,-1.919028473E1,-1.238059616E1,-4.064476013E1
7.605518250E0,-1.907534409E1,-1.241335106E1,-4.057812500E1
7.706004250E0,-1.914648247E1,-1.244717026E1,-4.067937851E1
7.806489250E0,-1.906299973E1,-1.243720055E1,-4.079800034E1
7.906975250E0,-1.906868172E1,-1.241394043E1,-4.054937363E1
8.007460250E0,-1.911375427E1,-1.234169006E1,-4.044295120E1
8.107946250E0,-1.915338516E1,-1.229710770E1,-4.048708725E1
8.208431250E0,-1.919684792E1,-1.227018166E1,-4.034986115E1
8.308917250E0,-1.914167404E1,-1.240226936E1,-4.026562119E1
8.409401500E0,-1.920771980E1,-1.221693802E1,-4.046182632E1
8.509886500E0,-1.911595154E1,-1.225062943E1,-4.025018311E1
8.610372500E0,-1.924981689E1,-1.202882767E1,-4.037755585E1
8.710857500E0,-1.920492935E1,-1.228004074E1,-4.057256317E1
8.811343500E0,-1.911296844E1,-1.222660065E1,-4.049961853E1
8.911828500E0,-1.919238663E1,-1.237702560E1,-4.035208511E1
9.012313500E0,-1.912336731E1,-1.223097229E1,-4.035080719E1
9.112799500E0,-1.914823914E1,-1.233769035E1,-4.035169601E1
9.213284500E0,-1.916376305E1,-1.247459793E1,-4.026797867E1
9.313769500E0,-1.904567337E1,-1.234788704E1,-4.037874603E1
9.414256000E0,-1.911219025E1,-1.244071960E1,-4.026717758E1
9.514741000E0,-1.914135170E1,-1.248013496E1,-4.039375687E1
9.615226000E0,-1.905339432E1,-1.235163689E1,-4.017973328E1
9.715712000E0,-1.915219879E1,-1.214523315E1,-4.042161560E1
9.816197000E0,-1.912080002E1,-1.225537109E1,-4.034746933E1
9.916682000E0,-1.918558884E1,-1.222066689E1,-4.032267761E1
1.001716800E1,-1.912830734E1,-1.230860901E1,-4.030760956E1
1.011765300E1,-1.918501472E1,-1.229525757E1,-4.035528946E1
1.021813800E1,-1.912132835E1,-1.230927658E1,-4.043803024E1
1.031862300E1,-1.910818863E1,-1.233908272E1,-4.055713272E1
1.041910888E1,-1.920774460E1,-1.216250038E1,-4.046712112E1
1.051959388E1,-1.915166855E1,-1.223737335E1,-4.025547791E1
1.062007887E1,-1.914418602E1,-1.221551514E1,-4.041653442E1
1.072056487E1,-1.911367226E1,-1.227164268E1,-4.045202637E1
1.082104987E1,-1.911033249E1,-1.220056725E1,-4.057618713E1
1.092153488E1,-1.913014603E1,-1.223369217E1,-4.040947723E1
1.102201988E1,-1.910071182E1,-1.234789276E1,-4.023796844E1
1.112250587E1,-1.911571693E1,-1.226519203E1,-4.022615814E1
1.122299087E1,-1.912484550E1,-1.228958130E1,-4.027889633E1
1.132347587E1,-1.907284546E1,-1.211933517E1,-4.039853668E1
1.142396154E1,-1.903127480E1,-1.216141891E1,-4.028432465E1
1.152444654E1,-1.902981949E1,-1.224318504E1,-4.049402618E1
1.162493254E1,-1.893010712E1,-1.226166153E1,-4.048524094E1
1.172541754E1,-1.894367981E1,-1.247026634E1,-3.969807434E1
1.182590254E1,-1.909001541E1,-1.203010941E1,-4.033791733E1
1.192638754E1,-1.899439621E1,-1.223807526E1,-4.030444336E1
1.202687254E1,-1.914066315E1,-1.220011711E1,-4.040259933E1
1.212735854E1,-1.917433167E1,-1.204738426E1,-4.048400116E1
1.222784354E1,-1.910474396E1,-1.222322655E1,-4.051573181E1
1.232832854E1,-1.914781189E1,-1.212091827E1,-4.035070801E1
1.242881617E1,-1.914727402E1,-1.221771431E1,-4.014513016E1
1.252930117E1,-1.902611923E1,-1.232501221E1,-4.019272232E1
1.262978617E1,-1.898863220E1,-1.229171562E1,-4.030981064E1
1.273027217E1,-1.906995010E1,-1.235045242E1,-4.022101974E1
1.283075717E1,-1.903123283E1,-1.237869453E1,-4.054670334E1
1.293124217E1,-1.909089470E1,-1.230135345E1,-4.055462646E1
1.303172717E1,-1.908973312E1,-1.235781479E1,-4.055390549E1
1.313221217E1,-1.909408951E1,-1.221984100E1,-4.032826996E1
1.323269717E1,-1.923485947E1,-1.222522926E1,-4.044915771E1
1.333318217E1,-1.921197891E1,-1.220967484E1,-4.053657913E1
1.343366442E1,-1.900662613E1,-1.231055641E1,-4.044721603E1
1.353414942E1,-1.911352158E1,-1.233333015E1,-4.048632050E1
1.363463442E1,-1.909850311E1,-1.234381485E1,-4.046265793E1
1.373511942E1,-1.909981918E1,-1.236866188E1,-4.040282440E1
1.383560442E1,-1.922607422E1,-1.210988617E1,-4.070147705E1
1.393608942E1,-1.920109749E1,-1.212795067E1,-4.070994568E1
1.403657442E1,-1.907686424E1,-1.231305695E1,-4.063178253E1
1.413705942E1,-1.906183052E1,-1.216778946E1,-4.057872009E1
1.423754442E1,-1.907010651E1,-1.217138290E1,-4.074057007E1
1.433802942E1,-1.906264687E1,-1.205692101E1,-4.080244064E1
1.443851504E1,-1.903844452E1,-1.225876999E1,-4.073222351E1
1.453900004E1,-1.899563026E1,-1.214077377E1,-4.093395996E1
1.463948604E1,-1.904399872E1,-1.215189934E1,-4.085678482E1
1.473997104E1,-1.916641617E1,-1.211145973E1,-4.074549866E1
1.484045604E1,-1.921312904E1,-1.215094757E1,-4.073669052E1
1.494094104E1,-1.916726875E1,-1.214928246E1,-4.065213013E1
1.504142604E1,-1.911034012E1,-1.217612457E1,-4.067831039E1
1.514191104E1,-1.916395950E1,-1.199957275E1,-4.033391953E1
1.524239604E1,-1.914845848E1,-1.213353348E1,-4.057865906E1
1.534288104E1,-1.907738876E1,-1.212949181E1,-4.061750412E1
1.544336592E1,-1.902729797E1,-1.228655815E1,-4.058976364E1
1.554385092E1,-1.906095886E1,-1.228322792E1,-4.049477386E1
1.564433592E1,-1.909740639E1,-1.224148560E1,-4.054050827E1
1.574482092E1,-1.909962082E1,-1.245151138E1,-4.049888229E1
1.584530592E1,-1.911911011E1,-1.232532120E1,-4.049378967E1
1.594579092E1,-1.906756783E1,-1.234704208E1,-4.048943329E1
1.604627592E1,-1.906309891E1,-1.229471207E1,-4.068431091E1
1.614676092E1,-1.905332184E1,-1.225977898E1,-4.038648224E1
1.624724592E1,-1.908041763E1,-1.236440659E1,-4.036253357E1
1.634773092E1,-1.912985229E1,-1.224340820E1,-4.058156204E1
1.644821562E1,-1.901913452E1,-1.219962692E1,-4.046463013E1
1.654870062E1,-1.907170868E1,-1.214783096E1,-4.024986649E1
1.664918562E1,-1.912895584E1,-1.217796898E1,-4.044244766E1
1.674967062E1,-1.906935883E1,-1.217320251E1,-4.048740005E1
1.685015562E1,-1.900744247E1,-1.218313980E1,-4.053004837E1
1.695064063E1,-1.904418182E1,-1.210343742E1,-4.063285446E1
1.705112563E1,-1.899793625E1,-1.218707466E1,-4.051081085E1
1.715161063E1,-1.897665787E1,-1.221652412E1,-4.022183228E1
1.725209563E1,-1.900752640E1,-1.213160515E1,-4.043696213E1
1.735257963E1,-1.904608917E1,-1.218492508E1,-4.031148529E1
1.745306550E1,-1.895163918E1,-1.227244949E1,-4.046036911E1
1.755355050E1,-1.911438370E1,-1.236915398E1,-4.026986694E1
1.765403550E1,-1.909709167E1,-1.226149940E1,-4.056290817E1
1.775452050E1,-1.909260178E1,-1.224488640E1,-4.033693695E1
1.785500550E1,-1.914456177E1,-1.226278496E1,-4.060531998E1
1.795549050E1,-1.918232155E1,-1.232134247E1,-4.048019409E1
1.805597550E1,-1.911632538E1,-1.215325928E1,-4.049809647E1
1.815646050E1,-1.914300537E1,-1.218141174E1,-4.035316467E1
1.825694550E1,-1.913209343E1,-1.235130310E1,-4.053083038E1
1.835743050E1,-1.911781311E1,-1.219137573E1,-4.057410431E1
1.845791350E1,-1.899991417E1,-1.217889214E1,-4.057838058E1
1.855839850E1,-1.901687622E1,-1.227365494E1,-4.040159988E1
1.865888350E1,-1.914019394E1,-1.229948235E1,-4.046807098E1
1.875936850E1,-1.911550331E1,-1.223855209E1,-4.060807419E1
1.885985350E1,-1.913065338E1,-1.218711281E1,-4.044630814E1
1.896033850E1,-1.916938019E1,-1.225280190E1,-4.057240295E1
1.906082350E1,-1.913062286E1,-1.224024773E1,-4.049802017E1
1.916130850E1,-1.915427208E1,-1.221375656E1,-4.052069855E1
1.926179250E1,-1.909208298E1,-1.226798058E1,-4.063639450E1
1.936227750E1,-1.910552979E1,-1.224051476E1,-4.059732819E1
1.946276375E1,-1.902877426E1,-1.231758499E1,-4.059675217E1
1.956324875E1,-1.905658722E1,-1.217159843E1,-4.030807495E1
1.966373375E1,-1.903216362E1,-1.239345360E1,-4.035981369E1
1.976421875E1,-1.913175201E1,-1.223961258E1,-4.029269028E1
1.986470375E1,-1.911457253E1,-1.208608055E1,-4.032971573E1
1.996518775E1,-1.913527298E1,-1.198921776E1,-4.048184204E1
2.006567275E1,-1.918188095E1,-1.202986145E1,-4.060659027E1
2.016615775E1,-1.914939499E1,-1.199634361E1,-4.049972153E1
2.026664275E1,-1.913917542E1,-1.210278702E1,-4.047538376E1
2.036712775E1,-1.907668877E1,-1.202388763E1,-4.053284454E1
2.046761142E1,-1.915888977E1,-1.205990410E1,-4.067973328E1
2.056809542E1,-1.916764450E1,-1.209406090E1,-4.044414139E1
2.066858042E1,-1.908195114E1,-1.221011925E1,-4.035390472E1
2.076906542E1,-1.904469109E1,-1.215038300E1,-4.050654221E1
2.086955042E1,-1.906922150E1,-1.214374352E1,-4.059132385E1
2.097003542E1,-1.903179550E1,-1.216820526E1,-4.057685471E1
2.107052042E1,-1.916975784E1,-1.193890762E1,-4.058932114E1
2.117100442E1,-1.913537979E1,-1.224594688E1,-4.036680222E1
2.127148942E1,-1.914652443E1,-1.209323120E1,-4.051675034E1
2.137197442E1,-1.912469864E1,-1.230974388E1,-4.037669754E1
2.147246337E1,-1.912881470E1,-1.237776184E1,-4.057303238E1
2.157294738E1,-1.909042549E1,-1.229596710E1,-4.061005402E1
2.167343237E1,-1.901847839E1,-1.226973343E1,-4.052005768E1
2.177391737E1,-1.918657112E1,-1.216418648E1,-4.054019928E1
2.187440237E1,-1.906883621E1,-1.216132355E1,-4.057601547E1
2.197488737E1,-1.907046509E1,-1.227046013E1,-4.059596252E1
2.207537137E1,-1.900025558E1,-1.220988464E1,-4.046527481E1
2.217585637E1,-1.913975143E1,-1.219001198E1,-4.055379868E1
2.227634137E1,-1.912007904E1,-1.224119949E1,-4.048683548E1
2.237682637E1,-1.904721069E1,-1.226554489E1,-4.029655457E1
2.247730625E1,-1.914653015E1,-1.200548744E1,-4.056614685E1
2.257779125E1,-1.907062149E1,-1.211907768E1,-4.056227875E1
2.267827625E1,-1.900082397E1,-1.226340294E1,-4.032840347E1
2.277876125E1,-1.903463364E1,-1.212030220E1,-4.029419708E1
2.287924625E1,-1.908531761E1,-1.223834991E1,-4.050144958E1
2.297973025E1,-1.901981354E1,-1.195897102E1,-4.053377914E1
