"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.105240000E-1,-1.621237025E-4,3.154690377E-3,-2.850061283E-4
2.110010000E-1,-5.837464705E-4,-1.682302449E-3,-1.086676260E-3
3.114766667E-1,2.622355707E-3,1.147396397E-3,-5.193008110E-5
4.119536667E-1,-3.506027162E-3,1.685806550E-3,-7.722969167E-4
5.124296666E-1,5.723657086E-4,1.626480371E-4,-1.556901378E-3
6.129066666E-1,1.320909709E-3,1.956125721E-3,9.923710022E-4
7.133826666E-1,-1.170165837E-3,-6.160186604E-5,-2.433485352E-3
8.138586667E-1,-1.482656226E-3,-1.461153850E-3,6.959098391E-4
9.143356667E-1,1.986593008E-3,3.810194321E-4,-1.088641584E-4
1.014811667E0,-3.497209400E-4,1.407910604E-3,-2.009707037E-3
1.115288667E0,-4.290286452E-4,7.251496427E-4,1.578984549E-3
1.215764667E0,-2.542517148E-3,-1.758323051E-4,-1.086569857E-3
1.316246125E0,8.725952357E-4,-5.049877800E-4,1.117570559E-3
1.416723125E0,2.424238250E-3,-1.246872358E-3,-3.127283417E-4
1.517199125E0,-6.911903620E-5,-2.578548156E-4,-9.940265445E-4
1.617675125E0,-3.728643060E-4,-7.564849220E-4,-3.096787259E-4
1.718152125E0,1.463950612E-3,-2.350597642E-3,4.926915281E-4
1.818628125E0,-2.568010241E-3,-1.438082196E-3,-2.878059167E-4
1.919104125E0,-3.021080047E-4,-3.973711282E-4,3.068167716E-4
2.019581125E0,3.070151433E-4,1.184777357E-3,-5.167294294E-4
2.120057125E0,4.223464057E-4,1.016998198E-3,-1.520968624E-3
2.220533125E0,-1.505713910E-3,1.291983295E-3,-3.364863805E-4
2.321004042E0,1.857229508E-3,1.411112025E-4,2.595870756E-4
2.421481042E0,-9.900042787E-4,-7.638121024E-4,-1.237867051E-3
2.521957042E0,-1.391291618E-3,-1.859917771E-3,-4.438275937E-4
2.622433042E0,-1.314455643E-3,9.912243113E-4,-1.499413513E-3
2.722909042E0,8.629290387E-4,1.588032581E-3,-5.690515973E-4
2.823385042E0,3.081504256E-4,-2.292969730E-3,-2.008103766E-4
2.923862042E0,3.750231117E-4,8.655339479E-4,6.046891212E-4
3.024338042E0,-8.107321337E-4,4.883264191E-4,-8.861017413E-4
3.124814042E0,1.222938299E-3,-1.661066897E-3,1.360443188E-3
3.225290042E0,1.413286664E-3,-2.140212338E-3,-1.798739773E-3
3.325766125E0,3.534071147E-4,7.751095109E-4,-5.554873496E-4
3.426242125E0,3.096340224E-4,2.056211233E-4,-7.312311791E-4
3.526719125E0,-2.373950556E-4,9.069661610E-4,3.321294207E-4
3.627195125E0,2.077995799E-3,1.323705539E-3,-1.158609521E-4
3.727671125E0,1.238973811E-3,4.936894402E-4,-1.071736682E-3
3.828147125E0,5.821585655E-4,-1.498705242E-3,-1.750446274E-3
3.928623125E0,6.117988378E-4,2.884604502E-3,2.028720686E-3
4.029099125E0,-3.157258034E-4,9.409463964E-4,-1.859249314E-3
4.129575125E0,-2.635197714E-3,5.614222027E-4,-1.524980878E-3
4.230051125E0,8.073132485E-4,-1.572184265E-3,1.710599288E-3
4.330526792E0,5.153138191E-4,-1.031692605E-3,-1.093080617E-3
4.431002792E0,7.706591859E-4,9.509781376E-4,1.615891233E-5
4.531479792E0,1.919571310E-3,2.255048603E-4,5.893192720E-4
