"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.268800000E-1,-1.860436058E1,6.709671021E-1,-4.461483002E1
2.273780000E-1,-1.861635780E1,7.345633507E-1,-4.445500183E1
3.278760000E-1,-1.860419655E1,7.553548813E-1,-4.449842834E1
4.283740000E-1,-1.856197357E1,7.652029991E-1,-4.450691223E1
5.288760000E-1,-1.859443474E1,8.103928566E-1,-4.454843140E1
6.293740000E-1,-1.857507324E1,8.486313820E-1,-4.446302795E1
7.298720000E-1,-1.853275490E1,1.041819572E0,-4.438806152E1
8.303700000E-1,-1.854315186E1,8.735866547E-1,-4.436803436E1
9.308680000E-1,-1.866962814E1,8.202371597E-1,-4.442834473E1
1.031366000E0,-1.855357933E1,8.815689087E-1,-4.444064331E1
1.131864000E0,-1.859131432E1,1.048805237E0,-4.445829773E1
1.232362000E0,-1.851249313E1,8.922729492E-1,-4.449862671E1
1.332860000E0,-1.856519699E1,7.478647232E-1,-4.460612488E1
1.433358000E0,-1.857577705E1,6.662788391E-1,-4.469858551E1
1.533851750E0,-1.853397179E1,8.493094444E-1,-4.453081512E1
1.634349750E0,-1.857198524E1,8.023805618E-1,-4.448055267E1
1.734847750E0,-1.863095093E1,8.065743446E-1,-4.447756195E1
1.835345750E0,-1.854215240E1,8.350262642E-1,-4.441742706E1
1.935842750E0,-1.845101547E1,6.335101128E-1,-4.448240662E1
2.036340750E0,-1.848773193E1,8.865189552E-1,-4.451037598E1
2.136838750E0,-1.850992584E1,8.917436600E-1,-4.452456665E1
2.237336750E0,-1.857471466E1,9.193663597E-1,-4.456134033E1
2.337834750E0,-1.864382553E1,8.133254051E-1,-4.456836700E1
2.438332750E0,-1.861549377E1,9.106936455E-1,-4.457264709E1
2.538831000E0,-1.858674812E1,9.393787384E-1,-4.454364014E1
2.639329000E0,-1.860086632E1,1.033449173E0,-4.453553772E1
2.739826000E0,-1.858694077E1,1.060199738E0,-4.468289948E1
2.840324000E0,-1.848622131E1,1.160308838E0,-4.453668976E1
2.940822000E0,-1.845321274E1,9.625678062E-1,-4.471158600E1
3.041320000E0,-1.863367653E1,1.107171535E0,-4.455732727E1
3.141818000E0,-1.855564690E1,1.066300392E0,-4.465042114E1
3.242316000E0,-1.868018723E1,1.058120251E0,-4.446623230E1
3.342813000E0,-1.857698631E1,1.092072010E0,-4.454416656E1
3.443311000E0,-1.852369118E1,8.692231178E-1,-4.445175934E1
3.543808375E0,-1.853644943E1,1.002047539E0,-4.452738953E1
3.644306375E0,-1.859272385E1,1.057518482E0,-4.470472717E1
3.744804375E0,-1.844395638E1,9.232039452E-1,-4.452098846E1
3.845301375E0,-1.853514099E1,1.050099373E0,-4.467357635E1
3.945799375E0,-1.862812805E1,1.058300018E0,-4.448634338E1
4.046297375E0,-1.852795792E1,1.043202877E0,-4.464250946E1
4.146795375E0,-1.861290359E1,9.869718552E-1,-4.464326477E1
4.247292375E0,-1.857010078E1,9.778757095E-1,-4.461831665E1
4.347790375E0,-1.861920357E1,1.027449608E0,-4.441780853E1
4.448288375E0,-1.860111237E1,9.157099724E-1,-4.447108459E1
4.548785625E0,-1.854616547E1,8.586621284E-1,-4.438743591E1
4.649283625E0,-1.857856750E1,1.012636662E0,-4.440007019E1
4.749781625E0,-1.850991631E1,1.117641926E0,-4.450124359E1
4.850279625E0,-1.857786560E1,9.781165123E-1,-4.462403870E1
4.950776625E0,-1.847053146E1,1.084882259E0,-4.455375671E1
5.051274625E0,-1.856809998E1,9.677495956E-1,-4.459316254E1
5.151772625E0,-1.859568405E1,7.879428864E-1,-4.460287476E1
5.252269625E0,-1.855785179E1,1.070126057E0,-4.454875183E1
5.352767625E0,-1.863393784E1,1.094077110E0,-4.449784851E1
5.453265625E0,-1.858955956E1,1.128734589E0,-4.446813202E1
5.553762625E0,-1.859043121E1,9.420843124E-1,-4.443806458E1
5.654260625E0,-1.862279892E1,1.069384575E0,-4.448625183E1
5.754758625E0,-1.859014893E1,9.728751183E-1,-4.461112976E1
5.855255625E0,-1.860573769E1,9.818487167E-1,-4.446448517E1
