"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.353186035E-1,9.804910583E0,2.571652222E-1
1.004920000E-1,1.362167358E-1,9.807904358E0,2.514770508E-1
2.009830000E-1,1.320254517E-1,9.806257782E0,2.520758057E-1
3.014740000E-1,1.291813660E-1,9.798773346E0,2.538720703E-1
4.019660000E-1,1.296304321E-1,9.808952179E0,2.507286072E-1
5.024570000E-1,1.258882141E-1,9.801767120E0,2.556683350E-1
6.029480000E-1,1.317260742E-1,9.815089417E0,2.505789185E-1
7.034390000E-1,1.383123779E-1,9.807155914E0,2.519261169E-1
8.039310000E-1,1.266366577E-1,9.804611206E0,2.471360779E-1
9.044210833E-1,1.318757629E-1,9.817035370E0,2.492317200E-1
1.004912083E0,1.185534668E-1,9.801318054E0,2.555186462E-1
1.105403083E0,1.396595764E-1,9.818831635E0,2.357597351E-1
1.205895083E0,1.296304321E-1,9.818382568E0,2.484832764E-1
1.306386083E0,1.219963074E-1,9.813143463E0,2.453398132E-1
1.406877083E0,1.384620667E-1,9.818382568E0,2.293231201E-1
1.507368083E0,1.254391479E-1,9.789642334E0,2.622546387E-1
1.607860083E0,1.324745178E-1,9.800120544E0,2.465373230E-1
1.708351083E0,1.291813660E-1,9.793833618E0,2.570155334E-1
1.808842083E0,1.252894592E-1,9.800419922E0,2.366578674E-1
1.909333833E0,1.432521057E-1,9.795779572E0,2.504292297E-1
2.009825833E0,1.269360352E-1,9.820927277E0,2.406994629E-1
2.110316833E0,1.374142456E-1,9.806706848E0,2.502795410E-1
2.210807833E0,1.291813660E-1,9.809700623E0,2.290237427E-1
2.311299833E0,1.279838562E-1,9.820328522E0,2.375559998E-1
2.411790833E0,1.318757629E-1,9.804162140E0,2.389031982E-1
2.512281833E0,1.278341675E-1,9.809850311E0,2.535726929E-1
2.612772833E0,1.327738953E-1,9.810299377E0,2.380050659E-1
2.713264833E0,1.255888367E-1,9.804910583E0,2.450404358E-1
2.813755833E0,1.363664246E-1,9.815837860E0,2.442919922E-1
2.914249708E0,1.284329224E-1,9.813293152E0,2.466870117E-1
3.014741708E0,1.282832336E-1,9.808353424E0,2.436932373E-1
3.115232708E0,1.225950623E-1,9.800719299E0,2.380050659E-1
3.215724708E0,1.378633118E-1,9.806108093E0,2.526745605E-1
3.316215708E0,1.269360352E-1,9.808652802E0,2.365081787E-1
3.416706708E0,1.332229614E-1,9.810000000E0,2.456391907E-1
3.517198708E0,1.357676697E-1,9.804311829E0,2.442919922E-1
3.617689708E0,1.330732727E-1,9.822573853E0,2.472857666E-1
3.718181708E0,1.282832336E-1,9.803264008E0,2.438429260E-1
3.818672708E0,1.296304321E-1,9.808952179E0,2.576142883E-1
3.919161083E0,1.330732727E-1,9.812544708E0,2.380050659E-1
4.019653083E0,1.380130005E-1,9.806856537E0,2.574645996E-1
4.120144083E0,1.381626892E-1,9.802964630E0,2.454895020E-1
4.220636083E0,1.278341675E-1,9.818831635E0,2.474354553E-1
4.321127083E0,1.297801208E-1,9.814939728E0,2.463876343E-1
4.421619083E0,1.264869690E-1,9.808054047E0,2.492317200E-1
4.522111083E0,1.320254517E-1,9.800719299E0,2.453398132E-1
4.622602083E0,1.374142456E-1,9.805209961E0,2.430944824E-1
4.723094083E0,1.339714050E-1,9.798923035E0,2.526745605E-1
4.823586083E0,1.357676697E-1,9.796677704E0,2.284249878E-1
4.924078583E0,1.240919495E-1,9.816137238E0,2.359094238E-1
5.024569583E0,1.305285645E-1,9.821226654E0,2.356100464E-1
5.125061583E0,1.285826111E-1,9.822124786E0,2.619552612E-1
5.225553583E0,1.294807434E-1,9.815837860E0,2.363584900E-1
5.326045583E0,1.288819885E-1,9.812395020E0,2.393522644E-1
5.426537583E0,1.215472412E-1,9.822274475E0,2.459385681E-1
5.527028583E0,1.339714050E-1,9.811796265E0,2.441423035E-1
5.627520583E0,1.347198486E-1,9.811347198E0,2.350112915E-1
5.728012583E0,1.240919495E-1,9.816885681E0,2.544708252E-1
5.828504583E0,1.284329224E-1,9.804910583E0,2.547702026E-1
5.929000083E0,1.420545959E-1,9.802066498E0,2.186952209E-1
6.029492083E0,1.252894592E-1,9.802814941E0,2.659968567E-1
6.129984083E0,1.402583313E-1,9.805808716E0,2.291734314E-1
6.230476083E0,1.296304321E-1,9.815987549E0,2.513273621E-1
6.330967083E0,1.366658020E-1,9.817484436E0,2.354603577E-1
6.431459083E0,1.281335449E-1,9.812245331E0,2.514770508E-1
6.531951083E0,1.212478638E-1,9.810000000E0,2.441423035E-1
6.632443083E0,1.332229614E-1,9.806557159E0,2.483335876E-1
6.732935083E0,1.209484863E-1,9.814490662E0,2.653981018E-1
6.833427083E0,1.327738953E-1,9.813442841E0,2.342628479E-1
6.933915125E0,1.231938171E-1,9.810898132E0,2.571652222E-1
