"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.227107155E1,-7.180684218E1,1.531587257E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.716038704E-3,4.227107280E1,-7.180685510E1,1.531587448E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.716038704E-3,4.227107315E1,-7.180685861E1,1.531587448E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.674350023E-1,4.227106923E1,-7.180680097E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.811346054E0,4.227106754E1,-7.180680899E1,1.531587486E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.267084801E1,4.227106567E1,-7.180680771E1,1.531587486E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.402542901E1,4.227106076E1,-7.180677076E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.966229403E1,4.227106532E1,-7.180678264E1,1.531587524E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.566427803E1,4.227107236E1,-7.180680365E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.682273209E1,4.227106507E1,-7.180675801E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.267107201E1,4.227106330E1,-7.180672499E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.522650301E1,4.227106413E1,-7.180670310E1,1.531587677E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.166236508E1,4.227106077E1,-7.180670560E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.766108000E1,4.227106383E1,-7.180671202E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.367034900E1,4.227106316E1,-7.180671849E1,1.531587601E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.966489708E1,4.227106248E1,-7.180668545E1,1.531587677E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.567048001E1,4.227106205E1,-7.180672731E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.166004002E1,4.227105701E1,-7.180671851E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.766698706E1,4.227106265E1,-7.180674383E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.366788709E1,4.227106981E1,-7.180674246E1,1.531587639E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.966283703E1,4.227106720E1,-7.180676543E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.567450809E1,4.227107280E1,-7.180683727E1,1.531587448E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.016684281E2,4.227106687E1,-7.180676872E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.076605901E2,4.227106900E1,-7.180681536E1,1.531587486E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.136628890E2,4.227107366E1,-7.180675092E1,1.531587715E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.196726830E2,4.227107366E1,-7.180678857E1,1.531587563E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
