"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,-1.985516167E1,-4.012143707E1,3.056219101E0,4.486978530E1
1.005000001E-2,-1.984215355E1,-4.019991302E1,3.076436996E0,4.493560425E1
2.010000002E-2,-1.985939407E1,-4.023088074E1,3.097671986E0,4.497237896E1
3.014900000E-2,-1.990056610E1,-4.023494720E1,3.046348572E0,4.499070734E1
4.019900001E-2,-1.988249207E1,-4.028170013E1,3.069620132E0,4.502611936E1
5.024900002E-2,-1.983289909E1,-4.028284454E1,3.145407200E0,4.501049919E1
6.029800000E-2,-1.984956741E1,-4.030415344E1,3.301942348E0,4.504811799E1
7.034800001E-2,-1.975887299E1,-4.038931274E1,3.426431179E0,4.509379199E1
8.039800002E-2,-1.978332901E1,-4.044048309E1,3.615221024E0,4.516505953E1
9.044800000E-2,-1.983377838E1,-4.033854675E1,3.455424309E0,4.508344570E1
1.004970000E-1,-1.990913582E1,-4.025286865E1,3.236173153E0,4.502377084E1
1.105470000E-1,-1.987183380E1,-4.024095154E1,3.245031834E0,4.499726871E1
1.205970000E-1,-1.985467720E1,-4.036064148E1,3.545592308E0,4.511940616E1
1.306460000E-1,-1.977893829E1,-4.037477875E1,3.710734367E0,4.511206832E1
1.406960000E-1,-1.977409554E1,-4.040420532E1,3.689313889E0,4.513452890E1
1.507460000E-1,-1.977582932E1,-4.033977509E1,3.431985855E0,4.505729026E1
1.607950000E-1,-1.975371552E1,-4.028519440E1,3.335092545E0,4.499143259E1
1.708450000E-1,-1.975525856E1,-4.025998688E1,3.456595898E0,4.497871540E1
1.808950000E-1,-1.977981186E1,-4.031336212E1,3.482105732E0,4.503924048E1
1.909440000E-1,-1.979796600E1,-4.031693268E1,3.347731113E0,4.504022449E1
2.009940000E-1,-1.984364319E1,-4.031439972E1,3.220542908E0,4.504878352E1
2.110440000E-1,-1.986675072E1,-4.022582245E1,3.171223164E0,4.497622963E1
2.210930000E-1,-1.986896133E1,-4.026036072E1,3.157917500E0,4.500716290E1
2.311430000E-1,-1.985729980E1,-4.028072357E1,3.206636429E0,4.502367782E1
2.411930000E-1,-1.985602188E1,-4.029374695E1,3.272866249E0,4.503953043E1
2.512430000E-1,-1.979488754E1,-4.036020660E1,3.241011143E0,4.506981255E1
