"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.913400000E-2,-2.739001065E-3,-1.243702602E-3,2.580206143E-3
1.796230000E-1,-4.304619506E-4,-1.221100334E-3,6.912660319E-4
2.801110000E-1,1.261094585E-4,7.245736197E-4,1.754660625E-4
3.805990000E-1,6.621414796E-4,4.583704285E-4,5.540351849E-4
4.810870000E-1,2.279122360E-3,5.567544140E-4,-3.770519979E-4
5.815750000E-1,1.442512497E-3,2.419180237E-4,-1.034027897E-3
6.820663750E-1,4.832129925E-4,1.213131007E-3,5.966308527E-5
7.825543750E-1,-1.937284134E-3,3.436575644E-4,2.646392677E-3
8.830433750E-1,-2.619579434E-3,2.757380717E-4,1.075770706E-4
9.835313750E-1,-8.902177215E-4,2.218130976E-5,-1.977840206E-3
1.084019375E0,-3.658725880E-3,-3.232955933E-4,-2.561677247E-3
1.184507375E0,-1.689674333E-3,-2.586600836E-3,2.365663648E-3
1.284995375E0,-1.127990894E-3,-4.430161789E-5,1.175195212E-3
1.385484375E0,3.562197089E-4,-5.311272107E-4,-1.524153631E-3
1.485972375E0,6.622197106E-4,6.240140647E-5,1.058356371E-3
1.586460375E0,4.224767908E-4,-1.900411211E-3,1.542540500E-3
1.686946125E0,-2.818581648E-3,1.294218004E-3,-3.392703133E-3
1.787434125E0,-1.025873236E-3,1.341371797E-3,-8.828018326E-4
1.887922125E0,2.335036173E-3,6.667803973E-5,5.052844062E-5
1.988411125E0,1.747094095E-3,9.307274595E-4,-1.322462689E-3
2.088899125E0,-1.799308695E-3,-1.229692250E-3,1.170149073E-3
2.189387125E0,1.760412939E-3,1.987316646E-3,1.804414205E-5
2.289876125E0,2.985822037E-3,-2.731513232E-4,-1.030182466E-5
2.390364125E0,1.247093081E-3,-1.977429725E-3,5.427531432E-4
2.490852125E0,-5.569318309E-4,5.975519307E-4,8.624570910E-4
2.591341125E0,2.250844613E-3,2.349764109E-4,2.871681936E-4
2.691829625E0,-9.719673544E-4,1.124790404E-3,1.431325218E-3
2.792318625E0,-1.162178814E-3,-5.573206581E-4,-1.592952758E-4
2.892806625E0,-4.643639550E-4,9.009954520E-4,1.228943001E-3
2.993295625E0,5.316613242E-4,1.456697471E-3,-1.586948056E-4
3.093783625E0,-9.685838595E-4,2.878140658E-4,-1.520867809E-3
3.194272625E0,-1.484239474E-4,-1.389153302E-3,-6.133643910E-5
3.294760625E0,4.622731358E-4,1.560362056E-3,-1.518973731E-3
3.395249625E0,7.257061079E-4,-6.226100959E-4,2.903270070E-4
3.495737625E0,1.054144464E-3,8.130939677E-4,1.053938642E-3
3.596226625E0,-2.421420068E-4,-2.799560316E-4,-1.751773525E-3
3.696717667E0,2.892082557E-3,2.625435591E-3,2.160910517E-4
3.797206667E0,-1.555117778E-3,-1.407430042E-3,5.331006832E-4
3.897694667E0,1.656793058E-3,-1.177161932E-3,3.800762352E-4
3.998183667E0,1.935199834E-3,1.607767772E-3,1.121585490E-3
4.098671667E0,-9.563099593E-4,3.204825334E-4,8.233862463E-4
4.199160667E0,-3.290986642E-4,-6.534066051E-4,-3.608129919E-4
4.299649667E0,-4.310440272E-5,7.392838597E-4,2.519122092E-3
4.400137667E0,-7.681250572E-4,-2.537515014E-3,1.450706739E-3
4.500626667E0,1.183874905E-3,-1.077071298E-3,2.537621185E-6
4.601110792E0,1.159521751E-3,6.808079779E-4,-3.457788844E-4
4.701599792E0,-4.443954676E-4,-4.489533603E-5,1.177735627E-3
4.802088792E0,-2.231347375E-3,5.071489140E-4,-6.253807805E-5
4.902576792E0,-1.547615975E-3,2.021533437E-4,5.012811162E-4
5.003065792E0,2.869712189E-4,8.185142651E-4,-1.057247166E-3
5.103554792E0,8.431710303E-4,1.884071622E-3,-6.289070006E-4
5.204042792E0,-2.100784332E-5,1.077139750E-3,1.096629305E-3
5.304531792E0,2.820745111E-3,3.413371742E-4,9.316815995E-4
5.405020792E0,-5.322201177E-4,-1.965426374E-3,-1.228824025E-3
5.505509792E0,1.606482081E-3,-1.032679807E-3,-8.007783908E-4
5.605997250E0,-1.555325463E-3,1.272084657E-3,-1.357274363E-3
5.706486250E0,4.486329854E-4,1.194290817E-4,2.661009785E-4
5.806975250E0,6.492743269E-4,4.649558105E-4,-2.352102660E-3
5.907463250E0,1.861306839E-3,-1.445829868E-3,-1.745871268E-3
6.007952250E0,7.911464199E-4,-3.951662220E-4,-8.247909136E-4
6.108441250E0,7.693339139E-4,-8.213473484E-4,-5.347866099E-4
6.208930250E0,1.055449247E-4,-3.052548505E-3,-1.103708288E-3
6.309418250E0,-3.156848252E-4,-2.454873640E-3,-5.564682651E-4
6.409907250E0,1.775226556E-3,-3.713993356E-4,6.442400627E-5
6.510396250E0,-9.500440210E-4,1.968844794E-3,8.642626926E-5
6.610885417E0,-1.005910337E-3,4.843142815E-4,1.086007105E-3
6.711374417E0,8.882209659E-5,5.324035883E-4,-1.811592374E-4
6.811862417E0,1.119047403E-3,1.891455613E-3,2.488472499E-3
6.912351417E0,-1.640084200E-3,1.348668244E-3,-3.971117549E-4
7.012840417E0,-1.670639031E-3,-1.002964564E-4,-8.089377079E-4
7.113329417E0,1.042876393E-4,1.414211467E-3,1.133950660E-3
7.213817417E0,2.148070373E-3,1.538681798E-3,3.648020793E-4
7.314306417E0,9.448770434E-4,8.188304491E-4,1.162633765E-3
7.414795417E0,6.946865469E-4,2.142879181E-3,-3.342649434E-4
7.515284417E0,-1.287758350E-4,8.213231340E-4,2.632390242E-4
7.615774000E0,-7.823705673E-4,7.776073180E-4,-1.603668090E-3
7.716263000E0,1.391768456E-3,-8.680676110E-4,-4.191184416E-4
7.816751000E0,1.298246905E-3,-1.768204384E-4,8.100364357E-4
7.917240000E0,-7.069073617E-4,-1.910427120E-3,-5.013286136E-5
8.017729000E0,5.553690717E-4,5.265478976E-4,-1.801887527E-3
8.118218000E0,1.339007169E-3,-4.001171328E-4,-1.621910487E-3
8.218707000E0,-1.512503251E-3,2.878913656E-4,-3.408605698E-4
8.319196000E0,3.611529246E-4,1.733079553E-4,-1.769138034E-4
8.419684000E0,-3.283498809E-4,7.268511690E-4,-2.068787348E-3
