"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.236190796E-2,1.812730408E-1,9.823022919E0
1.004852083E-1,-2.799179077E-2,1.881587219E-1,9.811646576E0
2.009722083E-1,-4.580474854E-2,1.683998108E-1,9.810748444E0
3.014592083E-1,-2.604583740E-2,1.844165039E-1,9.808503113E0
4.019462083E-1,-3.278182983E-2,1.823208618E-1,9.794432373E0
5.024332083E-1,-3.607498169E-2,1.874102783E-1,9.793833618E0
6.029202083E-1,-3.278182983E-2,1.703457642E-1,9.804311829E0
7.034072083E-1,-3.502716064E-2,1.895059204E-1,9.808952179E0
8.038942083E-1,-3.517684937E-2,1.652563477E-1,9.800120544E0
9.043812083E-1,-3.787124634E-2,1.791773987E-1,9.817484436E0
1.004867208E0,-3.173400879E-2,1.887574768E-1,9.805659027E0
1.105357958E0,-3.367996216E-2,1.841171265E-1,9.807305603E0
1.205844958E0,-3.951782227E-2,1.742376709E-1,9.796228638E0
1.306331958E0,-3.712280273E-2,1.901046753E-1,9.798174591E0
1.406818958E0,-4.700225830E-2,1.766326904E-1,9.811347198E0
1.507304958E0,-3.712280273E-2,1.727407837E-1,9.814041595E0
1.607791958E0,-3.592529297E-2,1.776805115E-1,9.804760895E0
1.708278958E0,-3.906875610E-2,1.833686829E-1,9.796528015E0
1.808765958E0,-3.218307495E-2,1.710942078E-1,9.813293152E0
1.909252958E0,-2.664459229E-2,1.776805115E-1,9.803563385E0
2.009738958E0,-2.424957275E-2,1.812730408E-1,9.807754669E0
2.110222208E0,-2.380050659E-2,1.742376709E-1,9.814490662E0
2.210709208E0,-2.649490356E-2,1.712438965E-1,9.774823151E0
2.311195208E0,-4.071533203E-2,1.833686829E-1,9.787097626E0
2.411682208E0,-3.562591553E-2,1.868115234E-1,9.804162140E0
2.512169208E0,-3.382965088E-2,1.835183716E-1,9.805958405E0
2.612656208E0,-4.086502075E-2,1.761836243E-1,9.814640350E0
2.713142208E0,-3.996688843E-2,1.832189941E-1,9.805359650E0
2.813629208E0,-3.158432007E-2,1.815724182E-1,9.816286926E0
2.914115208E0,-3.832031250E-2,1.827699280E-1,9.807006226E0
3.014602208E0,-3.787124634E-2,1.793270874E-1,9.807604980E0
3.115095083E0,-3.233276367E-2,1.839674377E-1,9.784403229E0
3.215581083E0,-3.622467041E-2,1.748364258E-1,9.797575836E0
3.316068083E0,-3.547622681E-2,1.880090332E-1,9.805958405E0
3.416555083E0,-3.442840576E-2,1.713935852E-1,9.795180817E0
3.517041083E0,-3.173400879E-2,1.785786438E-1,9.798473969E0
3.617528083E0,-4.056564331E-2,1.811233521E-1,9.807754669E0
3.718014083E0,-3.547622681E-2,1.725910950E-1,9.802216187E0
3.818501083E0,-4.745132446E-2,1.721420288E-1,9.785301361E0
3.918988083E0,-2.484832764E-2,1.857637024E-1,9.772727509E0
4.019474083E0,-3.981719971E-2,1.754351807E-1,9.804611206E0
4.119955208E0,-3.203338623E-2,1.800755310E-1,9.824370117E0
4.220441208E0,-3.861968994E-2,1.794767761E-1,9.816286926E0
4.320928208E0,-2.829116821E-2,1.892065430E-1,9.820927277E0
4.421414208E0,-4.400848389E-2,1.678010559E-1,9.810299377E0
4.521901208E0,-3.158432007E-2,1.839674377E-1,9.807006226E0
4.622387208E0,-2.933898926E-2,1.866618347E-1,9.794881439E0
4.722874208E0,-3.682342529E-2,1.588197327E-1,9.804311829E0
4.823360208E0,-3.592529297E-2,1.802252197E-1,9.795330505E0
4.923847208E0,-2.619552612E-2,1.833686829E-1,9.800569611E0
5.024333208E0,-3.742218018E-2,1.736389160E-1,9.802665253E0
