"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.647499998E-2,-2.612661362E0,1.932970047E1,-4.525817871E1
1.469600000E-1,-2.524941444E0,1.942253113E1,-4.549258423E1
2.474450000E-1,-2.449700356E0,1.920211411E1,-4.526762390E1
3.479300000E-1,-2.485248566E0,1.930829620E1,-4.529991150E1
4.484150000E-1,-2.482071877E0,1.918650055E1,-4.544324493E1
5.489000000E-1,-2.366453171E0,1.912288666E1,-4.533838654E1
6.493799583E-1,-2.437353134E0,1.909762955E1,-4.552483368E1
7.498649583E-1,-2.422873497E0,1.913363457E1,-4.539808655E1
8.503499583E-1,-2.422378540E0,1.902425385E1,-4.516638184E1
9.508349583E-1,-2.473786354E0,1.922075653E1,-4.547353363E1
1.051319958E0,-2.504446983E0,1.912621307E1,-4.536063385E1
1.151804958E0,-2.453259468E0,1.918324280E1,-4.528453064E1
1.252289958E0,-2.415292740E0,1.906739426E1,-4.511231995E1
1.352773958E0,-2.433007240E0,1.914015579E1,-4.514250183E1
1.453258958E0,-2.432659149E0,1.922181702E1,-4.507499695E1
1.553743958E0,-2.388837814E0,1.919784164E1,-4.526963806E1
1.654229250E0,-2.508708000E0,1.934566879E1,-4.539156342E1
1.754714250E0,-2.563431740E0,1.933785629E1,-4.529171753E1
1.855198250E0,-2.598321915E0,1.919731140E1,-4.546930695E1
1.955683250E0,-2.562379837E0,1.936796188E1,-4.551443481E1
2.056168250E0,-2.499363899E0,1.925250244E1,-4.543467712E1
2.156653250E0,-2.482353210E0,1.941423798E1,-4.544204712E1
2.257137250E0,-2.545098305E0,1.928264236E1,-4.544400787E1
2.357622250E0,-2.596852303E0,1.942121124E1,-4.559404755E1
2.458107250E0,-2.587707520E0,1.937543869E1,-4.553805542E1
2.558591250E0,-2.578047752E0,1.949273300E1,-4.571530151E1
2.659075958E0,-2.572459221E0,1.934721375E1,-4.568064117E1
2.759560958E0,-2.532231331E0,1.933607483E1,-4.541980743E1
2.860044958E0,-2.586827278E0,1.921067429E1,-4.543080902E1
2.960529958E0,-2.597870827E0,1.947612762E1,-4.536206818E1
3.061014958E0,-2.469038010E0,1.942225266E1,-4.509369659E1
3.161498958E0,-2.579823494E0,1.927542114E1,-4.524237823E1
3.261983958E0,-2.539118767E0,1.922023773E1,-4.554341888E1
3.362468958E0,-2.557671547E0,1.924369240E1,-4.536145020E1
3.462952958E0,-2.553851128E0,1.927613449E1,-4.526910400E1
3.563437708E0,-2.494324684E0,1.937664795E1,-4.508544159E1
3.663922708E0,-2.547675133E0,1.933204651E1,-4.516399384E1
3.764406708E0,-2.565163612E0,1.948504257E1,-4.547307587E1
3.864891708E0,-2.581508636E0,1.939714622E1,-4.554711151E1
3.965375708E0,-2.503479004E0,1.943262672E1,-4.539447784E1
4.065860708E0,-2.513452530E0,1.942156982E1,-4.525839233E1
4.166344708E0,-2.587330818E0,1.950919342E1,-4.542195892E1
4.266829708E0,-2.584109306E0,1.958233261E1,-4.522200775E1
4.367314708E0,-2.556828499E0,1.949650955E1,-4.529934692E1
4.467798708E0,-2.608520508E0,1.950646400E1,-4.548862457E1
4.568284333E0,-2.543344498E0,1.949163818E1,-4.544439697E1
4.668768333E0,-2.538558960E0,1.943839264E1,-4.535668945E1
4.769253333E0,-2.591027260E0,1.942477036E1,-4.540718079E1
4.869737333E0,-2.492607117E0,1.949152756E1,-4.528115082E1
