"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.243913269E-1,-1.197509766E-2,9.764195251E0
1.004980000E-1,-2.254312134E-1,9.639953613E-2,9.786648560E0
2.009950000E-1,-1.410067749E-1,1.601669312E-2,9.827962646E0
3.014923750E-1,-1.651066589E-1,7.229965210E-2,9.811796265E0
4.019903750E-1,-1.640588379E-1,1.152603149E-2,9.792486420E0
5.024883750E-1,-1.534309387E-1,5.643264771E-2,9.806706848E0
6.029863750E-1,-1.919009399E-1,3.293151855E-2,9.794432373E0
7.034833750E-1,-1.489402771E-1,5.583389282E-2,9.798473969E0
8.039813750E-1,-1.806742859E-1,3.817062378E-2,9.801916809E0
9.044793750E-1,-1.549278259E-1,4.370910645E-2,9.798923035E0
1.004977375E0,-1.707948303E-1,3.981719971E-2,9.799821167E0
1.105474375E0,-1.710942078E-1,3.906875610E-2,9.795480194E0
1.205972375E0,-1.597178650E-1,4.340972900E-2,9.794582062E0
1.306475125E0,-1.588197327E-1,3.622467041E-2,9.785900116E0
1.406973125E0,-1.778302002E-1,4.475692749E-2,9.795779572E0
1.507471125E0,-1.612147522E-1,3.382965088E-2,9.800120544E0
1.607968125E0,-1.664538574E-1,4.490661621E-2,9.798024902E0
1.708466125E0,-1.628613281E-1,3.517684937E-2,9.803264008E0
1.808964125E0,-1.675016785E-1,4.056564331E-2,9.796977081E0
1.909462125E0,-1.761836243E-1,3.323089600E-2,9.802066498E0
2.009960125E0,-1.660047913E-1,4.879852295E-2,9.804311829E0
2.110457125E0,-1.669029236E-1,3.053649902E-2,9.813742218E0
2.210955125E0,-1.651066589E-1,4.370910645E-2,9.789792023E0
2.311449250E0,-1.648072815E-1,3.652404785E-2,9.786349182E0
2.411947250E0,-1.666035461E-1,4.864883423E-2,9.804012451E0
2.512445250E0,-1.764830017E-1,4.236190796E-2,9.807455292E0
2.612943250E0,-1.604663086E-1,4.191284180E-2,9.809101868E0
2.713440250E0,-1.649569702E-1,4.340972900E-2,9.795480194E0
2.813938250E0,-1.685494995E-1,4.146377563E-2,9.787546692E0
2.914436250E0,-1.643582153E-1,3.712280273E-2,9.796977081E0
3.014934250E0,-1.757345581E-1,4.460723877E-2,9.801318054E0
3.115432250E0,-1.613644409E-1,3.562591553E-2,9.794582062E0
3.215929250E0,-1.621128845E-1,4.146377563E-2,9.798773346E0
3.316427125E0,-1.770817566E-1,5.134323120E-2,9.818831635E0
3.416925125E0,-1.636097717E-1,3.158432007E-2,9.800419922E0
3.517423125E0,-1.651066589E-1,4.206253052E-2,9.804760895E0
3.617921125E0,-1.660047913E-1,3.203338623E-2,9.809550934E0
3.718419125E0,-1.692979431E-1,3.951782227E-2,9.783355408E0
3.818916125E0,-1.718426514E-1,5.388793945E-2,9.793983307E0
3.919414125E0,-1.568737793E-1,5.239105225E-2,9.791288910E0
4.019912125E0,-1.610650635E-1,3.742218018E-2,9.786498871E0
4.120410125E0,-1.697470093E-1,4.011657715E-2,9.796228638E0
4.220908125E0,-1.609153748E-1,4.101470947E-2,9.803713074E0
4.321405500E0,-1.607656860E-1,3.427871704E-2,9.801018677E0
4.421903500E0,-1.773811340E-1,3.966751099E-2,9.802216187E0
4.522401500E0,-1.576222229E-1,3.412902832E-2,9.804760895E0
4.622899500E0,-1.863624573E-1,4.490661621E-2,9.785301361E0
4.723396500E0,-1.592687988E-1,4.834945679E-2,9.787696381E0
4.823894500E0,-1.767823792E-1,5.358856201E-2,9.799821167E0
4.924392500E0,-1.689985657E-1,3.323089600E-2,9.789492645E0
5.024890500E0,-1.803749084E-1,4.715194702E-2,9.792336731E0
5.125387500E0,-1.556762695E-1,4.101470947E-2,9.793983307E0
5.225885500E0,-1.600172424E-1,3.353027344E-2,9.797276459E0
5.326384125E0,-1.724414062E-1,3.263214111E-2,9.808353424E0
5.426882125E0,-1.508862305E-1,4.700225830E-2,9.815987549E0
5.527379125E0,-1.661544800E-1,3.068618774E-2,9.811347198E0
5.627877125E0,-1.724414062E-1,4.086502075E-2,9.804162140E0
5.728375125E0,-1.447489929E-1,4.026626587E-2,9.808952179E0
5.828873125E0,-1.832189941E-1,5.164260864E-2,9.810000000E0
5.929370125E0,-1.591191101E-1,2.918930054E-2,9.808054047E0
6.029868125E0,-1.681004333E-1,4.819976807E-2,9.814790039E0
6.130366125E0,-1.655557251E-1,2.993774414E-2,9.818382568E0
6.230863125E0,-1.636097717E-1,3.682342529E-2,9.797725525E0
6.331360875E0,-1.769320679E-1,4.460723877E-2,9.790540466E0
6.431858875E0,-1.790277100E-1,4.520599365E-2,9.808802490E0
6.532355875E0,-1.672023010E-1,3.517684937E-2,9.787846069E0
6.632853875E0,-1.660047913E-1,3.622467041E-2,9.793534241E0
6.733351875E0,-1.908531189E-1,4.415817261E-2,9.806856537E0
6.833848875E0,-1.555265808E-1,3.547622681E-2,9.810598755E0
