"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.227107101E1,-7.180684354E1,1.531588364E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.669910669E-1,4.227106734E1,-7.180677530E1,1.531588326E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.674124956E0,4.227106642E1,-7.180673448E1,1.531588249E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.267321599E1,4.227106547E1,-7.180672232E1,1.531588249E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.867593706E1,4.227106674E1,-7.180671482E1,1.531588249E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.466727507E1,4.227107089E1,-7.180677143E1,1.531588173E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.067722607E1,4.227107018E1,-7.180675858E1,1.531588249E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.666360307E1,4.227107210E1,-7.180676022E1,1.531588249E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.267224097E1,4.227106694E1,-7.180675998E1,1.531588173E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.867199600E1,4.227106501E1,-7.180674310E1,1.531588211E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.467181003E1,4.227105849E1,-7.180681397E1,1.531587944E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.067025900E1,4.227106930E1,-7.180674071E1,1.531588326E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.667461801E1,4.227106608E1,-7.180673957E1,1.531588211E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.266589499E1,4.227107063E1,-7.180676284E1,1.531588211E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.867041707E1,4.227106469E1,-7.180671282E1,1.531588287E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.467357397E1,4.227106785E1,-7.180675168E1,1.531588173E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.067974603E1,4.227106751E1,-7.180680223E1,1.531588097E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.667819595E1,4.227109769E1,-7.180681026E1,1.531594963E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.026786940E2,4.227108243E1,-7.180677858E1,1.531594505E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.086736400E2,4.227106722E1,-7.180666543E1,1.531594353E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.146790590E2,4.227107111E1,-7.180670700E1,1.531593971E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
