"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.244935036E0,2.326474762E1,-4.066121674E1,4.686291595E1
1.004900000E-2,1.263983727E0,2.332509232E1,-4.072177124E1,4.694592889E1
2.009800001E-2,1.207806587E0,2.327924919E1,-4.073054504E1,4.692930363E1
3.014700001E-2,1.193139076E0,2.333727646E1,-4.069712830E1,4.692875776E1
4.019600002E-2,1.141731262E0,2.336136627E1,-4.066985321E1,4.691581764E1
5.024500002E-2,1.127655983E0,2.341163635E1,-4.065537262E1,4.692798363E1
6.029400000E-2,1.145776749E0,2.335969353E1,-4.059641266E1,4.685143335E1
7.034400001E-2,1.224508286E0,2.332743454E1,-4.049413300E1,4.674872650E1
8.039300001E-2,1.236425400E0,2.326548386E1,-4.036776733E1,4.660867008E1
9.044200002E-2,1.277029991E0,2.317324257E1,-4.017674255E1,4.639828250E1
1.004910000E-1,1.294295311E0,2.315757751E1,-4.006298065E1,4.629245095E1
1.105400000E-1,1.303280830E0,2.303141785E1,-4.000567627E1,4.618007019E1
1.205890000E-1,1.314996719E0,2.308179092E1,-4.005062103E1,4.624446490E1
1.306380000E-1,1.322282791E0,2.302285957E1,-4.009714508E1,4.625561088E1
1.406870000E-1,1.282384872E0,2.313835526E1,-4.011917877E1,4.633116122E1
1.507360000E-1,1.235715866E0,2.318163109E1,-4.022360992E1,4.644194019E1
1.607850000E-1,1.238152504E0,2.314708328E1,-4.025358582E1,4.645074442E1
1.708340000E-1,1.214525223E0,2.314665222E1,-4.031871033E1,4.650635422E1
1.808830000E-1,1.216407776E0,2.320062256E1,-4.031425476E1,4.652942802E1
1.909320000E-1,1.237012863E0,2.319863129E1,-4.042568207E1,4.662555592E1
2.009810000E-1,1.183308601E0,2.325309372E1,-4.062300110E1,4.682237505E1
2.110300000E-1,1.163646698E0,2.331390381E1,-4.074552917E1,4.695838937E1
2.210790000E-1,1.149471283E0,2.338302040E1,-4.073196411E1,4.698063247E1
2.311290000E-1,1.106335640E0,2.338129425E1,-4.065143585E1,4.690893450E1
2.411780000E-1,1.162719727E0,2.335212708E1,-4.064226532E1,4.688781810E1
2.512270000E-1,1.154795647E0,2.329971695E1,-4.067621613E1,4.689098977E1
2.612760000E-1,1.102130890E0,2.324517441E1,-4.083052826E1,4.699664737E1
2.713250000E-1,1.140138626E0,2.322085190E1,-4.073287201E1,4.690069020E1
2.813740000E-1,1.166970253E0,2.312206078E1,-4.065198517E1,4.678221256E1
2.914230000E-1,1.145526886E0,2.310829926E1,-4.056126404E1,4.669605836E1
3.014720000E-1,1.181100845E0,2.316249847E1,-4.066773224E1,4.681624483E1
3.115210000E-1,1.190254211E0,2.318212700E1,-4.079328918E1,4.693527628E1
3.215700000E-1,1.176506996E0,2.324583054E1,-4.077920532E1,4.695419462E1
3.316190000E-1,1.176261902E0,2.327150345E1,-4.075349426E1,4.694458179E1
3.416680000E-1,1.205108643E0,2.317567635E1,-4.057862854E1,4.674600898E1
3.517170000E-1,1.213886261E0,2.322295761E1,-4.054210663E1,4.673801119E1
3.617660000E-1,1.153978348E0,2.322804260E1,-4.066915131E1,4.684926357E1
3.718150000E-1,1.175831795E0,2.322968674E1,-4.074172974E1,4.691363840E1
3.818640000E-1,1.184213638E0,2.337053490E1,-4.069904327E1,4.694673989E1
3.919140000E-1,1.145434380E0,2.344977570E1,-4.071379089E1,4.699805069E1
4.019630000E-1,1.140379906E0,2.354648209E1,-4.072756195E1,4.705817238E1
4.120120000E-1,1.099119186E0,2.353513336E1,-4.078524017E1,4.710144776E1
4.220610000E-1,1.113345146E0,2.342639923E1,-4.073963165E1,4.700801321E1
4.321100000E-1,1.092603683E0,2.348696327E1,-4.058519745E1,4.690404544E1
4.421590000E-1,1.086744308E0,2.347780418E1,-4.061350250E1,4.692382005E1
4.522080000E-1,1.075591087E0,2.351884079E1,-4.064429474E1,4.697075114E1
4.622570000E-1,1.109727859E0,2.354188347E1,-4.063144684E1,4.697197298E1
4.723060000E-1,1.116244316E0,2.353309250E1,-4.061215210E1,4.695103132E1
4.823550000E-1,1.103461266E0,2.343578720E1,-4.060878754E1,4.689911911E1
4.924040000E-1,1.129841805E0,2.341217422E1,-4.073854828E1,4.700038043E1
5.024530000E-1,1.057106972E0,2.341830254E1,-4.081053925E1,4.706415284E1
5.125020000E-1,1.050792694E0,2.341577911E1,-4.085356903E1,4.710007409E1
5.225510000E-1,1.079582214E0,2.336579514E1,-4.082361603E1,4.704990442E1
5.326000000E-1,1.178421974E0,2.326032257E1,-4.079797363E1,4.697771745E1
5.426490000E-1,1.223953247E0,2.322152901E1,-4.079338837E1,4.695570259E1
5.526980000E-1,1.159320831E0,2.325762177E1,-4.075556183E1,4.693907557E1
5.627480000E-1,1.161601067E0,2.334953690E1,-4.065403748E1,4.689670514E1
5.727970000E-1,1.157785416E0,2.337049866E1,-4.057608032E1,4.683950223E1
5.828460000E-1,1.189850807E0,2.334889221E1,-4.066847992E1,4.690961278E1
5.928950000E-1,1.197732925E0,2.330943680E1,-4.082495117E1,4.702596141E1
6.029440000E-1,1.191014290E0,2.328796959E1,-4.076596832E1,4.696394592E1
6.129930000E-1,1.184157372E0,2.326218796E1,-4.066009521E1,4.685909688E1
6.230420000E-1,1.208272934E0,2.326078987E1,-4.070571136E1,4.689860559E1
6.330910000E-1,1.167051315E0,2.318438339E1,-4.075241089E1,4.690028396E1
6.431400000E-1,1.144960403E0,2.316601181E1,-4.078330994E1,4.691751706E1
