"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.905537415E-1,-7.125183105E-2,9.809550934E0
1.004900000E-1,2.038760376E-1,-6.466552734E-2,9.806706848E0
2.009800000E-1,1.776805115E-1,-7.214996338E-2,9.804910583E0
3.014700000E-1,1.893562317E-1,-6.391708374E-2,9.814790039E0
4.019600000E-1,1.869612122E-1,-7.259902954E-2,9.791288910E0
5.024500000E-1,1.893562317E-1,-7.604187012E-2,9.808054047E0
6.029387500E-1,1.874102783E-1,-7.065307617E-2,9.812993774E0
7.034287500E-1,2.019300842E-1,-5.912704468E-2,9.799222412E0
8.039187500E-1,1.998344421E-1,-8.711883545E-2,9.812095642E0
9.044087500E-1,1.854643250E-1,-6.361770630E-2,9.797875214E0
1.004898750E0,1.863624573E-1,-6.436614990E-2,9.773775330E0
1.105388750E0,2.053729248E-1,-7.873626709E-2,9.791139221E0
1.205878750E0,1.815724182E-1,-6.047424316E-2,9.775272217E0
1.306368750E0,1.941462708E-1,-7.334747314E-2,9.815837860E0
1.406858750E0,1.818717957E-1,-6.691085815E-2,9.812245331E0
1.507348750E0,1.930984497E-1,-6.541397095E-2,9.808503113E0
1.607839125E0,1.812730408E-1,-7.170089722E-2,9.789941711E0
1.708329125E0,1.987866211E-1,-7.244934082E-2,9.790540466E0
1.808818125E0,1.907034302E-1,-7.738906860E-2,9.811347198E0
1.909308125E0,1.972897339E-1,-7.050338745E-2,9.805659027E0
2.009798125E0,1.911524963E-1,-6.301895142E-2,9.799222412E0
2.110288125E0,1.835183716E-1,-6.975494385E-2,9.805509338E0
2.210778125E0,1.847158813E-1,-7.155120850E-2,9.805209961E0
2.311268125E0,1.901046753E-1,-6.721023560E-2,9.805509338E0
2.411758125E0,1.926493835E-1,-7.664062500E-2,9.799821167E0
2.512247125E0,1.995350647E-1,-6.002517700E-2,9.802365875E0
2.612740917E0,1.877096558E-1,-7.499404907E-2,9.808353424E0
2.713230917E0,1.887574768E-1,-7.065307617E-2,9.811197510E0
2.813720917E0,1.908531189E-1,-6.930587769E-2,9.800270233E0
2.914210917E0,1.942959595E-1,-7.544311523E-2,9.803862762E0
3.014699917E0,1.832189941E-1,-7.274871826E-2,9.823322296E0
3.115189917E0,1.923500061E-1,-7.334747314E-2,9.809401245E0
3.215679917E0,1.877096558E-1,-6.646179199E-2,9.802964630E0
3.316169917E0,1.881587219E-1,-6.571334839E-2,9.811347198E0
3.416659917E0,1.839674377E-1,-6.945556641E-2,9.805509338E0
3.517148917E0,1.969903564E-1,-7.559280396E-2,9.798174591E0
3.617635917E0,1.749861145E-1,-6.286926270E-2,9.817634125E0
3.718125917E0,1.974394226E-1,-7.484436035E-2,9.808952179E0
3.818614917E0,1.817221069E-1,-7.035369873E-2,9.811796265E0
3.919104917E0,1.881587219E-1,-6.137237549E-2,9.791139221E0
4.019594917E0,1.911524963E-1,-7.005432129E-2,9.777218170E0
4.120083917E0,1.881587219E-1,-6.900650024E-2,9.790091400E0
4.220573917E0,1.969903564E-1,-6.601272583E-2,9.815688171E0
