"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.535999990E-3,1.406278461E-3,-9.877854027E-4,1.665598247E-4
1.130462083E-1,-1.417449676E-3,-3.709401935E-4,1.286366722E-3
2.185582083E-1,1.481113024E-3,-1.640044618E-3,1.057247398E-3
3.240692083E-1,1.347207464E-3,6.331875920E-4,2.329330891E-4
4.295802083E-1,5.941614509E-4,-9.573372081E-4,-5.779231433E-4
5.350922083E-1,-1.537772827E-3,1.012362540E-3,7.152606267E-4
6.406032083E-1,1.986987889E-3,-1.124463510E-3,1.392544014E-3
7.461142083E-1,-5.413005129E-4,-3.956472501E-4,-5.995330866E-4
8.516252083E-1,1.603309065E-3,-1.134735532E-3,-5.728707183E-4
9.571362083E-1,7.683699951E-4,-1.100899652E-3,-6.373014767E-4
1.062651958E0,1.785084605E-4,-2.304313704E-3,-9.280741215E-4
1.168162958E0,1.606977545E-3,1.100048423E-3,6.636653561E-4
1.273673958E0,-6.426377222E-4,2.634328324E-3,6.687724963E-4
1.379184958E0,-4.790173844E-4,-6.759888493E-4,-4.904821981E-4
1.484695958E0,-1.193976030E-3,1.779868267E-3,-1.754778088E-3
1.590206958E0,1.681257971E-3,-1.048647799E-3,-1.970682992E-3
1.695717958E0,1.426227391E-4,7.470562123E-4,8.252419066E-4
1.801228958E0,-4.002442583E-4,-9.741256945E-4,-3.640346695E-4
1.906740958E0,-5.122506991E-4,8.755316958E-5,3.990598489E-4
2.012251958E0,8.348189294E-5,2.987543121E-5,4.364044871E-4
2.117759208E0,-4.463857040E-4,-4.390757531E-4,-6.296637002E-4
2.223270208E0,9.751943871E-4,4.541543312E-4,2.659371356E-3
2.328781208E0,-6.278250366E-4,-2.703103237E-4,5.368734710E-4
2.434292208E0,8.551357314E-4,4.787840880E-4,-1.733794925E-3
2.539803208E0,2.660297789E-3,1.217546873E-3,1.818509307E-3
2.645314208E0,-2.618823200E-4,-6.922045723E-4,-1.208367757E-4
2.750825208E0,8.146036416E-4,5.024508573E-4,2.993363887E-4
2.856336208E0,-2.754619345E-4,2.180333249E-4,3.387902398E-4
2.961847208E0,-2.082365565E-3,-2.891789190E-4,1.364169642E-3
3.067364083E0,1.518233679E-3,-3.421171568E-4,2.818521345E-3
3.172875083E0,-2.630935051E-3,1.998317894E-3,-2.701650374E-4
3.278386083E0,5.955807865E-4,1.485580578E-4,1.438597217E-3
