"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,-4.030467224E1,1.990125465E1,4.232061386E0,4.514905187E1
1.004900000E-2,-4.033736420E1,1.992150307E1,4.279394150E0,4.519161924E1
2.009800001E-2,-4.036815643E1,1.993815994E1,4.265971184E0,4.522517867E1
3.014700001E-2,-4.038072586E1,2.000986099E1,4.206093788E0,4.526244340E1
4.019600002E-2,-4.043974304E1,1.991183853E1,4.205862522E0,4.527188322E1
5.024500002E-2,-4.041749573E1,1.982649040E1,4.330839157E0,4.522631812E1
6.029500000E-2,-4.038986588E1,1.978403473E1,4.475907326E0,4.519715745E1
7.034400001E-2,-4.040206528E1,1.977801132E1,4.611629486E0,4.521906387E1
8.039300001E-2,-4.032783508E1,1.975479126E1,4.740368843E0,4.515592051E1
9.044200002E-2,-4.034123993E1,1.982832718E1,4.643451691E0,4.519004140E1
1.004910000E-1,-4.031046295E1,1.979604340E1,4.785044193E0,4.516318640E1
1.105400000E-1,-4.032079315E1,1.976565552E1,5.192578793E0,4.520409686E1
1.205890000E-1,-4.032232666E1,1.982134438E1,5.127983570E0,4.522247158E1
1.306390000E-1,-4.036191559E1,1.996452904E1,4.852123737E0,4.529028322E1
1.406880000E-1,-4.042104340E1,2.008428001E1,4.650981426E0,4.537478023E1
1.507370000E-1,-4.043087006E1,2.001517487E1,4.568114281E0,4.534457130E1
1.607860000E-1,-4.044671631E1,2.003878784E1,4.554877758E0,4.536779463E1
1.708350000E-1,-4.048031616E1,1.998949814E1,4.467232227E0,4.536730316E1
1.808840000E-1,-4.045435333E1,1.990733337E1,4.458704948E0,4.530713714E1
1.909330000E-1,-4.047958374E1,1.986349106E1,4.533192158E0,4.531781998E1
2.009830000E-1,-4.043381500E1,1.985070801E1,4.710414410E0,4.528942490E1
2.110320000E-1,-4.042204285E1,1.987535095E1,4.693436146E0,4.528796160E1
2.210810000E-1,-4.038463211E1,1.984697723E1,4.569324970E0,4.522941241E1
2.311300000E-1,-4.038893890E1,1.994036484E1,4.412823200E0,4.525878417E1
2.411790000E-1,-4.044637299E1,2.002592278E1,4.361819267E0,4.534282896E1
2.512280000E-1,-4.047584915E1,2.002651978E1,4.388794899E0,4.537198893E1
2.612770000E-1,-4.050067902E1,2.004502869E1,4.280959129E0,4.539201237E1
2.713270000E-1,-4.052568054E1,2.000940704E1,4.307708263E0,4.540113990E1
2.813760000E-1,-4.044686508E1,1.990630722E1,4.448103428E0,4.529895789E1
2.914250000E-1,-4.036983490E1,1.979632568E1,4.478771687E0,4.518492532E1
3.014740000E-1,-4.042606735E1,1.987340927E1,4.497335434E0,4.527080012E1
3.115230000E-1,-4.046204758E1,1.990590477E1,4.426217556E0,4.531019467E1
3.215720000E-1,-4.047982025E1,1.989377975E1,4.299196720E0,4.530851369E1
3.316210000E-1,-4.041823578E1,1.985100937E1,4.282639503E0,4.523314446E1
3.416710000E-1,-4.043011475E1,1.993894768E1,4.386847019E0,4.529238611E1
3.517200000E-1,-4.039068604E1,1.992494965E1,4.395317554E0,4.525185027E1
3.617690000E-1,-4.038417053E1,1.988298035E1,4.377555370E0,4.522584580E1
3.718176250E-1,-4.038193130E1,1.990247154E1,4.253122807E0,4.522054625E1
3.818666250E-1,-4.040416336E1,1.990709305E1,4.227750778E0,4.524005578E1
3.919156250E-1,-4.041455078E1,2.001174927E1,4.243093014E0,4.529690786E1
4.019646250E-1,-4.041896057E1,1.996880150E1,4.270557880E0,4.528446833E1
4.120146250E-1,-4.043549728E1,1.996511459E1,4.299431801E0,4.530033504E1
4.220636250E-1,-4.039514160E1,1.987802505E1,4.396822453E0,4.523533345E1
4.321126250E-1,-4.039000702E1,1.992290497E1,4.357614517E0,4.524669727E1
4.421616250E-1,-4.039215851E1,1.990172958E1,4.198137283E0,4.522421548E1
4.522106250E-1,-4.041778183E1,1.981298065E1,4.282313347E0,4.521603143E1
4.622596250E-1,-4.040391922E1,1.983618927E1,4.300419331E0,4.521553604E1
4.723086250E-1,-4.041560364E1,1.988801956E1,4.190081596E0,4.523838109E1
4.823586250E-1,-4.045340729E1,1.990115547E1,4.199951649E0,4.527884433E1
4.924076250E-1,-4.042437363E1,1.988630295E1,4.242211342E0,4.525031917E1
5.024566250E-1,-4.037141037E1,1.980471611E1,4.260777473E0,4.516892494E1
5.125056250E-1,-4.043916702E1,1.978505325E1,4.353171349E0,4.522968784E1
5.225546250E-1,-4.047139740E1,1.985309601E1,4.443882465E0,4.529710278E1
5.326036250E-1,-4.047257996E1,1.999063873E1,4.368104458E0,4.535124807E1
5.426536250E-1,-4.040438843E1,1.998003006E1,4.283344746E0,4.527762414E1
5.527026250E-1,-4.038203049E1,1.993987465E1,4.288356304E0,4.524043531E1
5.627516250E-1,-4.047548294E1,1.999268723E1,4.293766975E0,4.534764268E1
5.728006250E-1,-4.047373199E1,2.008920479E1,4.320959568E0,4.539129677E1
5.828496250E-1,-4.045260239E1,2.005717087E1,4.457147121E0,4.537145913E1
5.928986250E-1,-4.046649933E1,2.008111954E1,4.493865967E0,4.539805900E1
6.029476250E-1,-4.046131897E1,2.007824135E1,4.514719486E0,4.539423752E1
6.129966250E-1,-4.040136719E1,2.000593376E1,4.546132565E0,4.531197609E1
6.230466250E-1,-4.040650940E1,1.998642349E1,4.458117485E0,4.529920460E1
6.330956250E-1,-4.046557617E1,1.999052048E1,4.300743580E0,4.533850636E1
6.431446250E-1,-4.047640228E1,2.002114868E1,4.260178089E0,4.535785107E1
6.531936250E-1,-4.050099182E1,2.004112244E1,4.183398724E0,4.538146926E1
6.632426250E-1,-4.046781540E1,2.006964111E1,4.190866947E0,4.536516222E1
6.732916250E-1,-4.047826385E1,2.011793900E1,4.251807690E0,4.540153282E1
6.833416250E-1,-4.046546173E1,2.009825134E1,4.254524708E0,4.538165137E1
6.933906250E-1,-4.046183014E1,2.009825897E1,4.246357918E0,4.537765163E1
7.034396250E-1,-4.040618515E1,2.003548241E1,4.283069134E0,4.530369781E1
7.134886250E-1,-4.037020874E1,1.998243332E1,4.279905319E0,4.524786166E1
7.235376250E-1,-4.027931213E1,1.996025085E1,4.255251408E0,4.515464278E1
7.335866250E-1,-4.032837677E1,1.987212181E1,4.247208595E0,4.515880843E1
7.436356250E-1,-4.031932068E1,1.986934090E1,4.243020058E0,4.514910350E1
