"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.290099999E-2,2.357105827E1,-3.053641319E0,-4.684391022E1
1.833880000E-1,2.363098717E1,-3.005339622E0,-4.703744507E1
2.838740000E-1,2.362896919E1,-2.914525986E0,-4.690302277E1
3.843600000E-1,2.365015602E1,-2.948775291E0,-4.680907440E1
4.848460000E-1,2.357789803E1,-3.046077728E0,-4.677438354E1
5.853320000E-1,2.356719017E1,-2.872288704E0,-4.712088013E1
6.858175000E-1,2.357561684E1,-3.038797379E0,-4.714253235E1
7.863035000E-1,2.361977577E1,-2.848046303E0,-4.708834076E1
8.867895000E-1,2.363018608E1,-3.014942169E0,-4.716614532E1
9.872765000E-1,2.370597649E1,-3.106901169E0,-4.708013916E1
1.087762500E0,2.370284081E1,-3.097196579E0,-4.676917267E1
1.188248500E0,2.361077690E1,-2.855715752E0,-4.713886261E1
1.288734500E0,2.358999825E1,-2.830525398E0,-4.697244263E1
1.389220500E0,2.351589012E1,-2.823327065E0,-4.715634155E1
1.489706500E0,2.359403801E1,-2.835127831E0,-4.725820923E1
1.590192500E0,2.365315056E1,-3.011254311E0,-4.716390991E1
1.690678250E0,2.363869667E1,-3.000273705E0,-4.711756134E1
1.791165250E0,2.357121468E1,-2.903019905E0,-4.719081116E1
1.891651250E0,2.354949760E1,-3.009361267E0,-4.716948700E1
1.992137250E0,2.355713081E1,-2.902279854E0,-4.710130310E1
2.092623250E0,2.361941338E1,-2.867874146E0,-4.718856812E1
2.193109250E0,2.359807396E1,-2.963513374E0,-4.714608765E1
2.293595250E0,2.352146721E1,-2.833686829E0,-4.734395599E1
2.394081250E0,2.353255272E1,-2.707212448E0,-4.742269135E1
2.494567250E0,2.349952888E1,-2.916954041E0,-4.718138885E1
2.595053250E0,2.345279884E1,-2.835799217E0,-4.746157837E1
2.695540250E0,2.353797340E1,-2.860209465E0,-4.727556610E1
2.796026250E0,2.345793724E1,-2.818345070E0,-4.743175507E1
2.896512250E0,2.343795967E1,-2.840775490E0,-4.717979431E1
2.996998250E0,2.348707771E1,-2.952802658E0,-4.738831329E1
3.097484250E0,2.352160072E1,-2.856822014E0,-4.741767120E1
3.197970250E0,2.351367760E1,-2.900651932E0,-4.734368134E1
3.298456250E0,2.348011208E1,-2.974192619E0,-4.715711212E1
3.398942250E0,2.342110634E1,-2.798595428E0,-4.741095734E1
3.499429250E0,2.351325417E1,-2.822777748E0,-4.757956696E1
3.599915250E0,2.331458855E1,-2.866067886E0,-4.741404724E1
3.700401125E0,2.259506798E1,-3.215683937E0,-4.722019958E1
3.800887125E0,2.219261742E1,-3.301989555E0,-4.706861115E1
3.901373125E0,2.201625252E1,-3.189479828E0,-4.657120514E1
4.001859125E0,2.165982246E1,-3.402056694E0,-4.648364258E1
4.102345125E0,2.128298378E1,-3.554357529E0,-4.642297363E1
4.202831125E0,2.136220741E1,-3.595034599E0,-4.643351746E1
4.303317125E0,2.150106621E1,-3.447980881E0,-4.651873779E1
4.403803125E0,2.172413063E1,-3.331916809E0,-4.687931824E1
4.504289125E0,2.182212257E1,-3.110992432E0,-4.693627930E1
4.604775417E0,2.209246254E1,-3.271751404E0,-4.695226288E1
4.705261417E0,2.212850761E1,-3.084342957E0,-4.691152191E1
4.805747417E0,2.198082161E1,-3.002310753E0,-4.714028931E1
4.906233417E0,2.207952309E1,-3.323015213E0,-4.688172150E1
5.006719417E0,2.203994942E1,-2.974453926E0,-4.706316376E1
5.107205417E0,2.197069359E1,-3.069499016E0,-4.708550262E1
5.207691417E0,2.214453697E1,-3.024720192E0,-4.685145569E1
5.308177417E0,2.214187050E1,-3.054393768E0,-4.672621155E1
5.408663417E0,2.229113960E1,-3.135943413E0,-4.676451111E1
5.509149417E0,2.221512413E1,-3.117424965E0,-4.702472687E1
5.609634000E0,2.238886452E1,-3.057303429E0,-4.688376617E1
5.710120000E0,2.242357445E1,-3.123808861E0,-4.682855988E1
5.810606000E0,2.247782326E1,-3.116216660E0,-4.676811218E1
5.911092000E0,2.238368416E1,-3.162316322E0,-4.695679474E1
6.011578000E0,2.238974190E1,-3.255362511E0,-4.705624390E1
6.112064000E0,2.236612129E1,-3.053733826E0,-4.706875610E1
6.212549000E0,2.230658913E1,-2.847752571E0,-4.726560974E1
6.313035000E0,2.234861565E1,-3.031630516E0,-4.754726410E1
6.413521000E0,2.242679405E1,-2.837505341E0,-4.742982483E1
6.514007000E0,2.241629601E1,-2.974350929E0,-4.726539612E1
